GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300597,1610612763,MEM,Memphis,1631246,Vince Williams Jr.,Vince,F,,29.000000:53,5.0,9.0,0.556,3.0,6.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,2.0,2.0,14.0,-5.0
0022300597,1610612763,MEM,Memphis,1630583,Santi Aldama,Santi,F,,27.000000:44,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.0,8.0,8.0,3.0,1.0,2.0,2.0,0.0,5.0,-25.0
0022300597,1610612763,MEM,Memphis,1628991,Jaren Jackson Jr.,Jaren,C,,33.000000:06,8.0,18.0,0.444,1.0,7.0,0.143,9.0,9.0,1.0,1.0,5.0,6.0,5.0,1.0,0.0,2.0,3.0,26.0,-5.0
0022300597,1610612763,MEM,Memphis,1628379,Luke Kennard,Luke,G,,29.000000:45,5.0,9.0,0.556,4.0,7.0,0.571,0.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,14.0,-15.0
0022300597,1610612763,MEM,Memphis,1629723,John Konchar,John,G,,26.000000:35,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0,2.0,2.0,0.0,2.0,-9.0
0022300597,1610612763,MEM,Memphis,1631223,David Roddy,David,,,31.000000:37,5.0,11.0,0.455,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,11.0,-22.0
0022300597,1610612763,MEM,Memphis,1631367,Jacob Gilyard,Jacob,,,15.000000:38,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,-13.0
0022300597,1610612763,MEM,Memphis,1630533,Ziaire Williams,Ziaire,,,22.000000:07,2.0,9.0,0.222,0.0,5.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,8.0,-29.0
0022300597,1610612763,MEM,Memphis,1641713,GG Jackson,GG,,,18.000000:29,2.0,3.0,0.667,2.0,2.0,1.0,4.0,6.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,-17.0
0022300597,1610612763,MEM,Memphis,1630590,Scotty Pippen Jr.,Scotty,,,5.000000:06,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,-5.0
0022300597,1610612763,MEM,Memphis,1631222,Jake LaRavia,Jake,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022300597,1610612763,MEM,Memphis,1630214,Xavier Tillman,Xavier,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022300597,1610612741,CHI,Chicago,201942,DeMar DeRozan,DeMar,F,,36.000000:36,7.0,20.0,0.35,1.0,4.0,0.25,3.0,4.0,0.75,1.0,3.0,4.0,8.0,1.0,1.0,1.0,0.0,18.0,23.0
0022300597,1610612741,CHI,Chicago,1630172,Patrick Williams,Patrick,F,,26.000000:48,4.0,11.0,0.364,3.0,7.0,0.429,4.0,4.0,1.0,2.0,3.0,5.0,0.0,2.0,1.0,2.0,4.0,15.0,-7.0
0022300597,1610612741,CHI,Chicago,202696,Nikola Vučević,Nikola,C,,25.000000:24,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,2.0,9.0,11.0,3.0,0.0,0.0,2.0,3.0,11.0,7.0
0022300597,1610612741,CHI,Chicago,1627936,Alex Caruso,Alex,G,,25.000000:18,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,3.0,8.0,18.0
0022300597,1610612741,CHI,Chicago,1629632,Coby White,Coby,G,,36.000000:07,7.0,14.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,17.0,17.0
0022300597,1610612741,CHI,Chicago,1630245,Ayo Dosunmu,Ayo,,,27.000000:55,7.0,10.0,0.7,3.0,5.0,0.6,3.0,3.0,1.0,0.0,6.0,6.0,4.0,1.0,1.0,3.0,1.0,20.0,28.0
0022300597,1610612741,CHI,Chicago,1631207,Dalen Terry,Dalen,,,18.000000:06,1.0,3.0,0.333,1.0,3.0,0.333,4.0,6.0,0.667,1.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,7.0,17.0
0022300597,1610612741,CHI,Chicago,203083,Andre Drummond,Andre,,,18.000000:52,7.0,11.0,0.636,0.0,0.0,0.0,1.0,2.0,0.5,5.0,5.0,10.0,1.0,4.0,0.0,0.0,2.0,15.0,18.0
0022300597,1610612741,CHI,Chicago,1628975,Jevon Carter,Jevon,,,16.000000:51,5.0,7.0,0.714,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,12.0,16.0
0022300597,1610612741,CHI,Chicago,1641763,Julian Phillips,Julian,,,4.000000:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
0022300597,1610612741,CHI,Chicago,1630678,Terry Taylor,Terry,,,3.000000:44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0
0022300597,1610612741,CHI,Chicago,1628470,Torrey Craig,Torrey,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
