GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500001,2,185,Chris Webber,1610612755,Philadelphia 76ers,1,11,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,13,185,Chris Webber,1610612755,Philadelphia 76ers,1,10,36,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,23,185,Chris Webber,1610612755,Philadelphia 76ers,1,8,27,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,66,185,Chris Webber,1610612755,Philadelphia 76ers,1,3,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,78,185,Chris Webber,1610612755,Philadelphia 76ers,1,2,19,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,113,185,Chris Webber,1610612755,Philadelphia 76ers,2,10,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,161,185,Chris Webber,1610612755,Philadelphia 76ers,2,5,54,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,77,8,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,219,185,Chris Webber,1610612755,Philadelphia 76ers,2,1,33,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,46,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,290,185,Chris Webber,1610612755,Philadelphia 76ers,3,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,102,160,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,327,185,Chris Webber,1610612755,Philadelphia 76ers,3,2,38,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,54,40,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,337,185,Chris Webber,1610612755,Philadelphia 76ers,3,2,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,115,112,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,349,185,Chris Webber,1610612755,Philadelphia 76ers,3,0,5,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-49,-8,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,374,185,Chris Webber,1610612755,Philadelphia 76ers,4,9,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500001,403,185,Chris Webber,1610612755,Philadelphia 76ers,4,6,0,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,54,1,1,20051101,PHI,MIL
Shot Chart Detail,0020500009,50,185,Chris Webber,1610612755,Philadelphia 76ers,1,6,9,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-120,58,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,131,185,Chris Webber,1610612755,Philadelphia 76ers,2,9,37,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,146,185,Chris Webber,1610612755,Philadelphia 76ers,2,8,24,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,13,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,169,185,Chris Webber,1610612755,Philadelphia 76ers,2,6,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,228,185,Chris Webber,1610612755,Philadelphia 76ers,2,0,27,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-131,45,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,337,185,Chris Webber,1610612755,Philadelphia 76ers,4,10,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-34,161,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,359,185,Chris Webber,1610612755,Philadelphia 76ers,4,8,14,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,23,1,1,20051102,DET,PHI
Shot Chart Detail,0020500021,72,185,Chris Webber,1610612755,Philadelphia 76ers,1,3,53,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-41,61,1,1,20051104,PHI,CHA
