GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500017,2,2207,Joe Johnson,1610612737,Atlanta Hawks,1,11,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,18,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,10,2207,Joe Johnson,1610612737,Atlanta Hawks,1,10,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,10,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,47,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,220,110,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,65,2207,Joe Johnson,1610612737,Atlanta Hawks,1,5,34,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,31,40,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,444,2207,Joe Johnson,1610612737,Atlanta Hawks,4,10,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-6,40,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,479,2207,Joe Johnson,1610612737,Atlanta Hawks,4,7,9,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,31,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,501,2207,Joe Johnson,1610612737,Atlanta Hawks,4,4,57,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,28,66,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500028,209,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051104,LAC,ATL
Shot Chart Detail,0020500028,230,2207,Joe Johnson,1610612737,Atlanta Hawks,2,3,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,62,245,1,1,20051104,LAC,ATL
Shot Chart Detail,0020500028,397,2207,Joe Johnson,1610612737,Atlanta Hawks,4,10,32,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-16,77,1,1,20051104,LAC,ATL
Shot Chart Detail,0020500041,8,2207,Joe Johnson,1610612737,Atlanta Hawks,1,10,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,197,164,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,42,2207,Joe Johnson,1610612737,Atlanta Hawks,1,5,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,159,7,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,81,2207,Joe Johnson,1610612737,Atlanta Hawks,1,2,14,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,49,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,166,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,47,242,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,186,2207,Joe Johnson,1610612737,Atlanta Hawks,2,2,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,201,2207,Joe Johnson,1610612737,Atlanta Hawks,2,1,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-10,207,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,227,2207,Joe Johnson,1610612737,Atlanta Hawks,3,10,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,238,33,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,444,2207,Joe Johnson,1610612737,Atlanta Hawks,4,3,2,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-46,33,1,1,20051105,POR,ATL
Shot Chart Detail,0020500041,482,2207,Joe Johnson,1610612737,Atlanta Hawks,4,0,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,POR,ATL
Shot Chart Detail,0020500051,32,2207,Joe Johnson,1610612737,Atlanta Hawks,1,8,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,167,58,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,52,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,186,179,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,115,2207,Joe Johnson,1610612737,Atlanta Hawks,1,1,31,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,1,125,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,197,2207,Joe Johnson,1610612737,Atlanta Hawks,2,6,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,202,2207,Joe Johnson,1610612737,Atlanta Hawks,2,6,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,286,2207,Joe Johnson,1610612737,Atlanta Hawks,3,10,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,313,2207,Joe Johnson,1610612737,Atlanta Hawks,3,6,18,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,59,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,322,2207,Joe Johnson,1610612737,Atlanta Hawks,3,5,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,15,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,359,2207,Joe Johnson,1610612737,Atlanta Hawks,3,0,22,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,395,2207,Joe Johnson,1610612737,Atlanta Hawks,4,8,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500051,442,2207,Joe Johnson,1610612737,Atlanta Hawks,4,4,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,172,-3,1,1,20051108,ATL,LAL
Shot Chart Detail,0020500068,5,2207,Joe Johnson,1610612737,Atlanta Hawks,1,11,17,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,33,2207,Joe Johnson,1610612737,Atlanta Hawks,1,7,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-112,79,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,39,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,78,2207,Joe Johnson,1610612737,Atlanta Hawks,1,3,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,100,160,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,165,2207,Joe Johnson,1610612737,Atlanta Hawks,2,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-136,123,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,170,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,344,2207,Joe Johnson,1610612737,Atlanta Hawks,3,1,0,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-75,61,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,367,2207,Joe Johnson,1610612737,Atlanta Hawks,4,10,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,23,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,433,2207,Joe Johnson,1610612737,Atlanta Hawks,4,4,47,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,72,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500068,501,2207,Joe Johnson,1610612737,Atlanta Hawks,4,0,18,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051110,ATL,LAC
Shot Chart Detail,0020500082,46,2207,Joe Johnson,1610612737,Atlanta Hawks,1,7,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,15,1,1,20051112,ATL,MEM
Shot Chart Detail,0020500082,103,2207,Joe Johnson,1610612737,Atlanta Hawks,1,1,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,89,48,1,1,20051112,ATL,MEM
Shot Chart Detail,0020500082,118,2207,Joe Johnson,1610612737,Atlanta Hawks,1,0,16,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-72,3,1,1,20051112,ATL,MEM
Shot Chart Detail,0020500082,203,2207,Joe Johnson,1610612737,Atlanta Hawks,2,4,58,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051112,ATL,MEM
Shot Chart Detail,0020500082,315,2207,Joe Johnson,1610612737,Atlanta Hawks,3,4,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-153,71,1,1,20051112,ATL,MEM
