GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500004,96,2050,Morris Peterson,1610612761,Toronto Raptors,1,2,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,115,141,1,1,20051102,TOR,WAS
Shot Chart Detail,0020500004,183,2050,Morris Peterson,1610612761,Toronto Raptors,2,6,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,TOR,WAS
Shot Chart Detail,0020500004,187,2050,Morris Peterson,1610612761,Toronto Raptors,2,6,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,8,1,1,20051102,TOR,WAS
Shot Chart Detail,0020500004,204,2050,Morris Peterson,1610612761,Toronto Raptors,2,3,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,0,1,1,20051102,TOR,WAS
Shot Chart Detail,0020500004,434,2050,Morris Peterson,1610612761,Toronto Raptors,4,6,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,10,1,1,20051102,TOR,WAS
Shot Chart Detail,0020500020,189,2050,Morris Peterson,1610612761,Toronto Raptors,2,4,5,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-5,61,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,331,2050,Morris Peterson,1610612761,Toronto Raptors,3,4,15,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,12,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,345,2050,Morris Peterson,1610612761,Toronto Raptors,3,2,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,12,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,375,2050,Morris Peterson,1610612761,Toronto Raptors,3,0,1,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,381,2050,Morris Peterson,1610612761,Toronto Raptors,4,11,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,0,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,410,2050,Morris Peterson,1610612761,Toronto Raptors,4,8,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,3,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,486,2050,Morris Peterson,1610612761,Toronto Raptors,4,1,27,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500034,148,2050,Morris Peterson,1610612761,Toronto Raptors,2,8,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,157,2050,Morris Peterson,1610612761,Toronto Raptors,2,7,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,84,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,172,2050,Morris Peterson,1610612761,Toronto Raptors,2,6,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-112,109,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,242,2050,Morris Peterson,1610612761,Toronto Raptors,3,11,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,87,230,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,299,2050,Morris Peterson,1610612761,Toronto Raptors,3,5,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,44,183,1,1,20051105,DET,TOR
