GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600009,14,1712,Antawn Jamison,1610612764,Washington Wizards,1,9,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-72,192,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,22,1712,Antawn Jamison,1610612764,Washington Wizards,1,8,32,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,94,43,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,62,1712,Antawn Jamison,1610612764,Washington Wizards,1,5,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,203,1712,Antawn Jamison,1610612764,Washington Wizards,2,5,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,13,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,273,1712,Antawn Jamison,1610612764,Washington Wizards,3,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-207,-11,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,296,1712,Antawn Jamison,1610612764,Washington Wizards,3,8,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,-6,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,457,1712,Antawn Jamison,1610612764,Washington Wizards,4,5,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,468,1712,Antawn Jamison,1610612764,Washington Wizards,4,4,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,158,36,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,494,1712,Antawn Jamison,1610612764,Washington Wizards,4,1,46,Made Shot,Jump Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,-19,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600031,32,1712,Antawn Jamison,1610612764,Washington Wizards,1,8,16,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5,53,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,82,1712,Antawn Jamison,1610612764,Washington Wizards,1,4,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-204,158,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,105,1712,Antawn Jamison,1610612764,Washington Wizards,1,2,1,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,10,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,167,1712,Antawn Jamison,1610612764,Washington Wizards,2,7,18,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-126,45,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,188,1712,Antawn Jamison,1610612764,Washington Wizards,2,5,36,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,0,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,225,1712,Antawn Jamison,1610612764,Washington Wizards,2,1,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,-31,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,272,1712,Antawn Jamison,1610612764,Washington Wizards,3,10,56,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,-19,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,312,1712,Antawn Jamison,1610612764,Washington Wizards,3,7,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,3,255,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,347,1712,Antawn Jamison,1610612764,Washington Wizards,3,2,15,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,13,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,357,1712,Antawn Jamison,1610612764,Washington Wizards,3,1,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,364,1712,Antawn Jamison,1610612764,Washington Wizards,3,0,50,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,12,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,454,1712,Antawn Jamison,1610612764,Washington Wizards,4,4,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,459,1712,Antawn Jamison,1610612764,Washington Wizards,4,3,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,8,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600045,16,1712,Antawn Jamison,1610612764,Washington Wizards,1,9,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,87,1712,Antawn Jamison,1610612764,Washington Wizards,1,1,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,176,174,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,93,1712,Antawn Jamison,1610612764,Washington Wizards,1,1,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,95,1712,Antawn Jamison,1610612764,Washington Wizards,1,0,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,114,1712,Antawn Jamison,1610612764,Washington Wizards,2,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-108,237,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,163,1712,Antawn Jamison,1610612764,Washington Wizards,2,5,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,214,1712,Antawn Jamison,1610612764,Washington Wizards,2,0,33,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,278,1712,Antawn Jamison,1610612764,Washington Wizards,3,5,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,181,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,287,1712,Antawn Jamison,1610612764,Washington Wizards,3,5,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-194,179,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,403,1712,Antawn Jamison,1610612764,Washington Wizards,4,6,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,432,1712,Antawn Jamison,1610612764,Washington Wizards,4,4,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600059,20,1712,Antawn Jamison,1610612764,Washington Wizards,1,9,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,45,1712,Antawn Jamison,1610612764,Washington Wizards,1,6,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,5,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,55,1712,Antawn Jamison,1610612764,Washington Wizards,1,5,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-2,153,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,76,1712,Antawn Jamison,1610612764,Washington Wizards,1,3,30,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-31,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,178,1712,Antawn Jamison,1610612764,Washington Wizards,2,4,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-195,68,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,296,1712,Antawn Jamison,1610612764,Washington Wizards,3,8,16,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,0,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,316,1712,Antawn Jamison,1610612764,Washington Wizards,3,6,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,1,20061108,WAS,IND
Shot Chart Detail,0020600074,11,1712,Antawn Jamison,1610612764,Washington Wizards,1,10,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,209,38,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,35,1712,Antawn Jamison,1610612764,Washington Wizards,1,7,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,54,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,102,1712,Antawn Jamison,1610612764,Washington Wizards,1,0,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-235,87,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,213,1712,Antawn Jamison,1610612764,Washington Wizards,2,2,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,-11,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,399,1712,Antawn Jamison,1610612764,Washington Wizards,4,10,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-146,204,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,417,1712,Antawn Jamison,1610612764,Washington Wizards,4,8,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,-34,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,424,1712,Antawn Jamison,1610612764,Washington Wizards,4,8,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-102,233,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,483,1712,Antawn Jamison,1610612764,Washington Wizards,4,1,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,495,1712,Antawn Jamison,1610612764,Washington Wizards,4,0,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,0,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600091,50,1712,Antawn Jamison,1610612764,Washington Wizards,1,4,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-21,1,1,20061112,WAS,NJN
Shot Chart Detail,0020600091,106,1712,Antawn Jamison,1610612764,Washington Wizards,2,10,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,246,-31,1,1,20061112,WAS,NJN
Shot Chart Detail,0020600091,217,1712,Antawn Jamison,1610612764,Washington Wizards,3,10,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20061112,WAS,NJN
Shot Chart Detail,0020600112,4,1712,Antawn Jamison,1610612764,Washington Wizards,1,11,19,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600112,58,1712,Antawn Jamison,1610612764,Washington Wizards,1,5,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600112,60,1712,Antawn Jamison,1610612764,Washington Wizards,1,4,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-94,176,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600112,130,1712,Antawn Jamison,1610612764,Washington Wizards,2,10,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-37,221,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600112,208,1712,Antawn Jamison,1610612764,Washington Wizards,2,4,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600112,216,1712,Antawn Jamison,1610612764,Washington Wizards,2,3,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600112,468,1712,Antawn Jamison,1610612764,Washington Wizards,4,4,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,NYK,WAS
Shot Chart Detail,0020600123,8,1712,Antawn Jamison,1610612764,Washington Wizards,1,10,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,34,253,1,1,20061117,DET,WAS
Shot Chart Detail,0020600123,46,1712,Antawn Jamison,1610612764,Washington Wizards,1,5,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,53,1,1,20061117,DET,WAS
Shot Chart Detail,0020600123,405,1712,Antawn Jamison,1610612764,Washington Wizards,4,4,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061117,DET,WAS
Shot Chart Detail,0020600129,74,1712,Antawn Jamison,1610612764,Washington Wizards,1,2,47,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20061118,WAS,CLE
Shot Chart Detail,0020600129,91,1712,Antawn Jamison,1610612764,Washington Wizards,1,0,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,2,1,1,20061118,WAS,CLE
Shot Chart Detail,0020600129,108,1712,Antawn Jamison,1610612764,Washington Wizards,2,10,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,1,20061118,WAS,CLE
Shot Chart Detail,0020600129,200,1712,Antawn Jamison,1610612764,Washington Wizards,2,0,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,1,20061118,WAS,CLE
Shot Chart Detail,0020600129,215,1712,Antawn Jamison,1610612764,Washington Wizards,2,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,-9,1,1,20061118,WAS,CLE
Shot Chart Detail,0020600129,264,1712,Antawn Jamison,1610612764,Washington Wizards,3,8,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,38,1,1,20061118,WAS,CLE
Shot Chart Detail,0020600155,22,1712,Antawn Jamison,1610612764,Washington Wizards,1,8,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061121,DAL,WAS
Shot Chart Detail,0020600155,55,1712,Antawn Jamison,1610612764,Washington Wizards,1,7,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,130,155,1,1,20061121,DAL,WAS
Shot Chart Detail,0020600155,433,1712,Antawn Jamison,1610612764,Washington Wizards,4,8,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061121,DAL,WAS
Shot Chart Detail,0020600155,435,1712,Antawn Jamison,1610612764,Washington Wizards,4,7,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061121,DAL,WAS
Shot Chart Detail,0020600165,203,1712,Antawn Jamison,1610612764,Washington Wizards,2,2,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061122,HOU,WAS
Shot Chart Detail,0020600165,256,1712,Antawn Jamison,1610612764,Washington Wizards,3,9,57,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,87,242,1,1,20061122,HOU,WAS
