GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600002,59,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,5,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,96,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,1,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,7,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,135,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,9,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,282,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,7,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-41,253,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,379,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,9,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,396,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,7,44,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,12,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,406,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,6,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,445,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,2,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-5,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,452,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,207,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600014,69,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,3,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,87,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,1,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,261,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,9,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,310,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,5,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600028,135,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,9,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,375,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,11,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,442,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,5,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,100,238,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,446,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,4,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-197,109,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,460,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,3,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600039,123,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,1,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,0,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,297,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,10,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,328,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,8,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,49,91,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,365,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,4,16,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,0,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600064,5,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,11,29,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,17,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,85,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,3,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,13,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,101,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,1,29,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,22,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,168,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,6,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,12,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,188,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,4,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-3,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,255,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,9,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-11,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600070,3,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,11,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,172,173,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,150,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,160,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,8,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,130,206,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,170,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,6,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,215,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,153,201,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,217,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,1,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-233,118,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,239,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,11,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,250,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,9,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,17,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600070,353,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,9,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061109,PHX,DAL
Shot Chart Detail,0020600088,53,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,169,189,1,1,20061111,PHX,MEM
Shot Chart Detail,0020600088,179,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,187,1,1,20061111,PHX,MEM
Shot Chart Detail,0020600088,203,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,5,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,184,160,1,1,20061111,PHX,MEM
Shot Chart Detail,0020600088,248,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,1,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061111,PHX,MEM
Shot Chart Detail,0020600088,285,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,8,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061111,PHX,MEM
Shot Chart Detail,0020600126,52,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,6,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,63,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,5,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,102,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,74,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,3,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,8,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,82,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,2,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,212,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,2,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,136,150,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,218,2571,Leandro Barbosa,1610612756,Phoenix Suns,2,1,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,84,235,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,293,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,176,176,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,313,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-59,210,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,431,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,5,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600126,446,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,3,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-195,5,1,1,20061117,PHX,PHI
Shot Chart Detail,0020600139,291,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,7,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061118,UTA,PHX
Shot Chart Detail,0020600139,303,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,7,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061118,UTA,PHX
Shot Chart Detail,0020600139,310,2571,Leandro Barbosa,1610612756,Phoenix Suns,3,5,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061118,UTA,PHX
Shot Chart Detail,0020600139,443,2571,Leandro Barbosa,1610612756,Phoenix Suns,4,2,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-5,176,1,1,20061118,UTA,PHX
Shot Chart Detail,0020600150,52,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,5,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,118,217,1,1,20061120,GSW,PHX
Shot Chart Detail,0020600150,57,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,5,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,15,1,1,20061120,GSW,PHX
Shot Chart Detail,0020600150,82,2571,Leandro Barbosa,1610612756,Phoenix Suns,1,2,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-11,1,1,20061120,GSW,PHX
