GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600012,286,2246,Mehmet Okur,1610612762,Utah Jazz,3,10,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,UTA,HOU
Shot Chart Detail,0020600012,305,2246,Mehmet Okur,1610612762,Utah Jazz,3,7,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,197,-23,1,1,20061101,UTA,HOU
Shot Chart Detail,0020600012,390,2246,Mehmet Okur,1610612762,Utah Jazz,4,10,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,128,178,1,1,20061101,UTA,HOU
Shot Chart Detail,0020600012,460,2246,Mehmet Okur,1610612762,Utah Jazz,4,2,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-136,176,1,1,20061101,UTA,HOU
Shot Chart Detail,0020600028,14,2246,Mehmet Okur,1610612762,Utah Jazz,1,10,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,60,2246,Mehmet Okur,1610612762,Utah Jazz,1,5,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,80,156,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,199,2246,Mehmet Okur,1610612762,Utah Jazz,2,3,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,212,2246,Mehmet Okur,1610612762,Utah Jazz,2,2,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-94,178,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,456,2246,Mehmet Okur,1610612762,Utah Jazz,4,4,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600037,135,2246,Mehmet Okur,1610612762,Utah Jazz,2,10,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,UTA,GSW
Shot Chart Detail,0020600037,149,2246,Mehmet Okur,1610612762,Utah Jazz,2,9,29,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,UTA,GSW
