GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600010,31,2034,Mike Miller,1610612763,Memphis Grizzlies,1,7,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,140,248,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,34,2034,Mike Miller,1610612763,Memphis Grizzlies,1,6,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,144,215,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,36,2034,Mike Miller,1610612763,Memphis Grizzlies,1,6,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-105,238,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,163,2034,Mike Miller,1610612763,Memphis Grizzlies,2,6,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,175,2034,Mike Miller,1610612763,Memphis Grizzlies,2,5,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-118,168,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,318,2034,Mike Miller,1610612763,Memphis Grizzlies,3,4,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,672,2034,Mike Miller,1610612763,Memphis Grizzlies,7,3,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,149,210,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600024,209,2034,Mike Miller,1610612763,Memphis Grizzlies,2,4,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,257,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,279,2034,Mike Miller,1610612763,Memphis Grizzlies,3,8,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,393,2034,Mike Miller,1610612763,Memphis Grizzlies,4,10,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-182,179,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,400,2034,Mike Miller,1610612763,Memphis Grizzlies,4,9,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,178,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,442,2034,Mike Miller,1610612763,Memphis Grizzlies,4,5,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,455,2034,Mike Miller,1610612763,Memphis Grizzlies,4,5,9,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,458,2034,Mike Miller,1610612763,Memphis Grizzlies,4,4,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-57,253,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,465,2034,Mike Miller,1610612763,Memphis Grizzlies,4,3,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,138,210,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600034,229,2034,Mike Miller,1610612763,Memphis Grizzlies,3,10,48,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,DET,MEM
Shot Chart Detail,0020600034,243,2034,Mike Miller,1610612763,Memphis Grizzlies,3,9,4,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,15,1,1,20061104,DET,MEM
