GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600013,29,1740,Rashard Lewis,1610612760,Seattle SuperSonics,1,9,4,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,12,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,45,1740,Rashard Lewis,1610612760,Seattle SuperSonics,1,7,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,143,81,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,173,1740,Rashard Lewis,1610612760,Seattle SuperSonics,2,8,21,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,195,1740,Rashard Lewis,1610612760,Seattle SuperSonics,2,6,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,227,104,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,290,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,11,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,38,245,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,294,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,10,23,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,41,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,329,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,7,14,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,389,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,1,42,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,453,1740,Rashard Lewis,1610612760,Seattle SuperSonics,4,7,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,15,1,1,20061101,SEA,POR
Shot Chart Detail,0020600029,30,1740,Rashard Lewis,1610612760,Seattle SuperSonics,1,9,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-56,261,1,1,20061103,LAL,SEA
Shot Chart Detail,0020600029,41,1740,Rashard Lewis,1610612760,Seattle SuperSonics,1,7,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-125,173,1,1,20061103,LAL,SEA
Shot Chart Detail,0020600029,239,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,11,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,28,81,1,1,20061103,LAL,SEA
Shot Chart Detail,0020600029,304,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,4,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,158,204,1,1,20061103,LAL,SEA
Shot Chart Detail,0020600029,313,1740,Rashard Lewis,1610612760,Seattle SuperSonics,3,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-156,201,1,1,20061103,LAL,SEA
