GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600008,80,1888,Richard Hamilton,1610612765,Detroit Pistons,1,3,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,83,1888,Richard Hamilton,1610612765,Detroit Pistons,1,3,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-146,17,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,100,1888,Richard Hamilton,1610612765,Detroit Pistons,1,1,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,183,1888,Richard Hamilton,1610612765,Detroit Pistons,2,4,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,196,1888,Richard Hamilton,1610612765,Detroit Pistons,2,2,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,226,1888,Richard Hamilton,1610612765,Detroit Pistons,2,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,272,1888,Richard Hamilton,1610612765,Detroit Pistons,3,8,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,DET,MIL
Shot Chart Detail,0020600008,313,1888,Richard Hamilton,1610612765,Detroit Pistons,3,4,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,30,1,1,20061101,DET,MIL
Shot Chart Detail,0020600021,86,1888,Richard Hamilton,1610612765,Detroit Pistons,1,2,27,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-75,51,1,1,20061103,BOS,DET
Shot Chart Detail,0020600021,172,1888,Richard Hamilton,1610612765,Detroit Pistons,2,5,32,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,26,1,1,20061103,BOS,DET
Shot Chart Detail,0020600021,201,1888,Richard Hamilton,1610612765,Detroit Pistons,2,3,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,28,1,1,20061103,BOS,DET
Shot Chart Detail,0020600021,203,1888,Richard Hamilton,1610612765,Detroit Pistons,2,2,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-159,86,1,1,20061103,BOS,DET
Shot Chart Detail,0020600021,237,1888,Richard Hamilton,1610612765,Detroit Pistons,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,67,273,1,1,20061103,BOS,DET
