GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600002,29,1890,Shawn Marion,1610612756,Phoenix Suns,1,8,13,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,38,1890,Shawn Marion,1610612756,Phoenix Suns,1,7,19,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-87,5,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,183,1890,Shawn Marion,1610612756,Phoenix Suns,2,5,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,220,1890,Shawn Marion,1610612756,Phoenix Suns,2,2,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,244,1890,Shawn Marion,1610612756,Phoenix Suns,2,0,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-54,97,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,415,1890,Shawn Marion,1610612756,Phoenix Suns,4,5,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600014,49,1890,Shawn Marion,1610612756,Phoenix Suns,1,6,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,82,1890,Shawn Marion,1610612756,Phoenix Suns,1,2,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,181,1890,Shawn Marion,1610612756,Phoenix Suns,2,5,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,107,89,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,220,1890,Shawn Marion,1610612756,Phoenix Suns,2,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,209,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,268,1890,Shawn Marion,1610612756,Phoenix Suns,3,9,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,327,1890,Shawn Marion,1610612756,Phoenix Suns,3,5,6,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,439,1890,Shawn Marion,1610612756,Phoenix Suns,4,5,47,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,447,1890,Shawn Marion,1610612756,Phoenix Suns,4,5,19,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-67,36,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,454,1890,Shawn Marion,1610612756,Phoenix Suns,4,3,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,473,1890,Shawn Marion,1610612756,Phoenix Suns,4,1,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,146,68,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600028,22,1890,Shawn Marion,1610612756,Phoenix Suns,1,9,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,270,1890,Shawn Marion,1610612756,Phoenix Suns,3,8,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,52,82,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,284,1890,Shawn Marion,1610612756,Phoenix Suns,3,6,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,26,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,318,1890,Shawn Marion,1610612756,Phoenix Suns,3,3,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-205,160,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,349,1890,Shawn Marion,1610612756,Phoenix Suns,3,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-228,132,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600028,463,1890,Shawn Marion,1610612756,Phoenix Suns,4,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,PHX,UTA
Shot Chart Detail,0020600039,23,1890,Shawn Marion,1610612756,Phoenix Suns,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-16,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,56,1890,Shawn Marion,1610612756,Phoenix Suns,1,6,44,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,233,1890,Shawn Marion,1610612756,Phoenix Suns,2,3,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,263,1890,Shawn Marion,1610612756,Phoenix Suns,2,1,46,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-6,92,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,325,1890,Shawn Marion,1610612756,Phoenix Suns,3,8,21,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-72,28,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,341,1890,Shawn Marion,1610612756,Phoenix Suns,3,6,21,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,385,1890,Shawn Marion,1610612756,Phoenix Suns,3,1,9,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,26,51,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,387,1890,Shawn Marion,1610612756,Phoenix Suns,3,0,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-13,99,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,405,1890,Shawn Marion,1610612756,Phoenix Suns,4,10,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,243,10,1,1,20061104,LAC,PHX
Shot Chart Detail,0020600039,407,1890,Shawn Marion,1610612756,Phoenix Suns,4,10,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-189,192,1,1,20061104,LAC,PHX
