GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600007,12,1713,Vince Carter,1610612751,New Jersey Nets,1,10,36,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,14,1713,Vince Carter,1610612751,New Jersey Nets,1,9,56,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-11,130,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,79,1713,Vince Carter,1610612751,New Jersey Nets,1,2,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-189,46,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,130,1713,Vince Carter,1610612751,New Jersey Nets,2,10,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,10,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,191,1713,Vince Carter,1610612751,New Jersey Nets,2,5,29,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,299,1713,Vince Carter,1610612751,New Jersey Nets,3,8,1,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-140,0,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,346,1713,Vince Carter,1610612751,New Jersey Nets,3,4,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,433,1713,Vince Carter,1610612751,New Jersey Nets,4,7,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,148,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,448,1713,Vince Carter,1610612751,New Jersey Nets,4,5,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,13,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600007,469,1713,Vince Carter,1610612751,New Jersey Nets,4,3,8,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,154,53,1,1,20061101,NJN,TOR
Shot Chart Detail,0020600023,25,1713,Vince Carter,1610612751,New Jersey Nets,1,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-174,176,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,133,1713,Vince Carter,1610612751,New Jersey Nets,2,10,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-135,122,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,150,1713,Vince Carter,1610612751,New Jersey Nets,2,8,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,71,122,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,173,1713,Vince Carter,1610612751,New Jersey Nets,2,6,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,252,1713,Vince Carter,1610612751,New Jersey Nets,3,10,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,256,1713,Vince Carter,1610612751,New Jersey Nets,3,10,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,49,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,410,1713,Vince Carter,1610612751,New Jersey Nets,4,7,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,3,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,418,1713,Vince Carter,1610612751,New Jersey Nets,4,5,56,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-59,8,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,438,1713,Vince Carter,1610612751,New Jersey Nets,4,3,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-156,79,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,440,1713,Vince Carter,1610612751,New Jersey Nets,4,2,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-156,105,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600023,479,1713,Vince Carter,1610612751,New Jersey Nets,4,0,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,0,247,1,1,20061103,MIA,NJN
Shot Chart Detail,0020600062,26,1713,Vince Carter,1610612751,New Jersey Nets,1,8,31,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,68,1713,Vince Carter,1610612751,New Jersey Nets,1,4,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,117,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,143,1713,Vince Carter,1610612751,New Jersey Nets,2,8,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,125,215,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,211,1713,Vince Carter,1610612751,New Jersey Nets,2,1,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,251,1713,Vince Carter,1610612751,New Jersey Nets,3,10,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,265,1713,Vince Carter,1610612751,New Jersey Nets,3,8,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-148,143,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,302,1713,Vince Carter,1610612751,New Jersey Nets,3,5,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,409,1713,Vince Carter,1610612751,New Jersey Nets,4,6,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,NJN,UTA
Shot Chart Detail,0020600062,423,1713,Vince Carter,1610612751,New Jersey Nets,4,5,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,41,224,1,1,20061108,NJN,UTA
