GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600013,85,2216,Zach Randolph,1610612757,Portland Trail Blazers,1,4,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,131,115,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,232,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,2,47,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,15,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,242,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,1,40,Made Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,2,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,292,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,10,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,172,-21,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,341,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,5,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,367,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,3,50,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,15,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,500,2216,Zach Randolph,1610612757,Portland Trail Blazers,4,3,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,SEA,POR
Shot Chart Detail,0020600013,516,2216,Zach Randolph,1610612757,Portland Trail Blazers,4,1,50,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,31,1,1,20061101,SEA,POR
Shot Chart Detail,0020600030,6,2216,Zach Randolph,1610612757,Portland Trail Blazers,1,11,22,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,153,69,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,17,2216,Zach Randolph,1610612757,Portland Trail Blazers,1,9,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,199,0,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,133,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,10,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,165,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,6,49,Made Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,22,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,287,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,6,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,22,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,292,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,5,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,295,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,5,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,25,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,302,2216,Zach Randolph,1610612757,Portland Trail Blazers,3,4,20,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,45,1,1,20061103,GSW,POR
Shot Chart Detail,0020600030,399,2216,Zach Randolph,1610612757,Portland Trail Blazers,4,7,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,GSW,POR
Shot Chart Detail,0020600038,6,2216,Zach Randolph,1610612757,Portland Trail Blazers,1,10,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-108,137,1,1,20061104,POR,MIN
Shot Chart Detail,0020600038,107,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,11,5,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,26,1,1,20061104,POR,MIN
Shot Chart Detail,0020600038,135,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,6,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,POR,MIN
Shot Chart Detail,0020600038,150,2216,Zach Randolph,1610612757,Portland Trail Blazers,2,5,41,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,54,1,1,20061104,POR,MIN
