GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700005,68,2730,Dwight Howard,1610612753,Orlando Magic,1,3,57,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-43,49,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,153,2730,Dwight Howard,1610612753,Orlando Magic,2,7,42,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,257,2730,Dwight Howard,1610612753,Orlando Magic,3,10,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,265,2730,Dwight Howard,1610612753,Orlando Magic,3,9,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700016,9,2730,Dwight Howard,1610612753,Orlando Magic,1,11,1,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,48,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,30,2730,Dwight Howard,1610612753,Orlando Magic,1,7,46,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,45,2730,Dwight Howard,1610612753,Orlando Magic,1,4,58,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,8,97,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,87,2730,Dwight Howard,1610612753,Orlando Magic,1,1,1,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,139,2730,Dwight Howard,1610612753,Orlando Magic,2,7,59,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,261,2730,Dwight Howard,1610612753,Orlando Magic,3,6,12,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,45,1,1,20071102,ORL,DET
Shot Chart Detail,0020700029,48,2730,Dwight Howard,1610612753,Orlando Magic,1,6,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,7,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,68,2730,Dwight Howard,1610612753,Orlando Magic,1,4,2,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-3,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,158,2730,Dwight Howard,1610612753,Orlando Magic,2,5,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,180,2730,Dwight Howard,1610612753,Orlando Magic,2,3,39,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-6,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,186,2730,Dwight Howard,1610612753,Orlando Magic,2,3,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-5,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,225,2730,Dwight Howard,1610612753,Orlando Magic,3,10,52,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,291,2730,Dwight Howard,1610612753,Orlando Magic,3,4,52,Made Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,26,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700048,23,2730,Dwight Howard,1610612753,Orlando Magic,1,9,8,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,MIN,ORL
Shot Chart Detail,0020700048,43,2730,Dwight Howard,1610612753,Orlando Magic,1,7,20,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,33,1,1,20071106,MIN,ORL
