GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700005,50,2045,Hedo Turkoglu,1610612753,Orlando Magic,1,6,7,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,128,2045,Hedo Turkoglu,1610612753,Orlando Magic,2,9,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,149,212,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,171,2045,Hedo Turkoglu,1610612753,Orlando Magic,2,5,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,6,155,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,201,2045,Hedo Turkoglu,1610612753,Orlando Magic,2,3,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-148,166,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,255,2045,Hedo Turkoglu,1610612753,Orlando Magic,3,11,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,293,2045,Hedo Turkoglu,1610612753,Orlando Magic,3,6,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,257,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,298,2045,Hedo Turkoglu,1610612753,Orlando Magic,3,5,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-6,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,367,2045,Hedo Turkoglu,1610612753,Orlando Magic,4,10,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700016,11,2045,Hedo Turkoglu,1610612753,Orlando Magic,1,10,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,21,2045,Hedo Turkoglu,1610612753,Orlando Magic,1,9,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,204,146,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,111,2045,Hedo Turkoglu,1610612753,Orlando Magic,2,11,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-10,128,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,208,2045,Hedo Turkoglu,1610612753,Orlando Magic,2,1,24,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,74,38,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,264,2045,Hedo Turkoglu,1610612753,Orlando Magic,3,5,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,112,235,1,1,20071102,ORL,DET
