GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700020,16,2037,Jamal Crawford,1610612752,New York Knicks,1,10,33,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,48,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,68,2037,Jamal Crawford,1610612752,New York Knicks,1,3,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-15,48,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,80,2037,Jamal Crawford,1610612752,New York Knicks,1,2,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-97,141,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,191,2037,Jamal Crawford,1610612752,New York Knicks,2,3,10,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-67,26,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,294,2037,Jamal Crawford,1610612752,New York Knicks,3,7,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,248,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,307,2037,Jamal Crawford,1610612752,New York Knicks,3,6,7,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,10,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,363,2037,Jamal Crawford,1610612752,New York Knicks,3,0,33,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,12,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,533,2037,Jamal Crawford,1610612752,New York Knicks,4,0,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700037,150,2037,Jamal Crawford,1610612752,New York Knicks,2,7,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,218,128,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,152,2037,Jamal Crawford,1610612752,New York Knicks,2,6,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,158,2037,Jamal Crawford,1610612752,New York Knicks,2,6,13,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,43,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,194,2037,Jamal Crawford,1610612752,New York Knicks,2,3,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,251,2037,Jamal Crawford,1610612752,New York Knicks,3,8,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,383,2037,Jamal Crawford,1610612752,New York Knicks,4,7,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,0,153,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,385,2037,Jamal Crawford,1610612752,New York Knicks,4,6,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,100,137,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700037,404,2037,Jamal Crawford,1610612752,New York Knicks,4,5,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-92,158,1,1,20071104,NYK,MIN
Shot Chart Detail,0020700046,37,2037,Jamal Crawford,1610612752,New York Knicks,1,6,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,49,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,146,2037,Jamal Crawford,1610612752,New York Knicks,2,7,25,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,34,110,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,166,2037,Jamal Crawford,1610612752,New York Knicks,2,6,4,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,56,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,203,2037,Jamal Crawford,1610612752,New York Knicks,2,3,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-118,217,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,293,2037,Jamal Crawford,1610612752,New York Knicks,3,6,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,23,247,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,308,2037,Jamal Crawford,1610612752,New York Knicks,3,4,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,87,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,311,2037,Jamal Crawford,1610612752,New York Knicks,3,4,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-179,87,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,476,2037,Jamal Crawford,1610612752,New York Knicks,4,1,41,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-62,86,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700069,13,2037,Jamal Crawford,1610612752,New York Knicks,1,10,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-99,168,1,1,20071109,NYK,ORL
Shot Chart Detail,0020700069,31,2037,Jamal Crawford,1610612752,New York Knicks,1,8,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,126,237,1,1,20071109,NYK,ORL
Shot Chart Detail,0020700069,252,2037,Jamal Crawford,1610612752,New York Knicks,3,11,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-6,1,1,20071109,NYK,ORL
Shot Chart Detail,0020700069,328,2037,Jamal Crawford,1610612752,New York Knicks,3,1,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-43,181,1,1,20071109,NYK,ORL
Shot Chart Detail,0020700069,494,2037,Jamal Crawford,1610612752,New York Knicks,4,0,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,NYK,ORL
Shot Chart Detail,0020700087,38,2037,Jamal Crawford,1610612752,New York Knicks,1,6,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,115,133,1,1,20071111,NYK,MIA
Shot Chart Detail,0020700087,154,2037,Jamal Crawford,1610612752,New York Knicks,2,4,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,10,1,1,20071111,NYK,MIA
Shot Chart Detail,0020700087,244,2037,Jamal Crawford,1610612752,New York Knicks,3,9,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,121,166,1,1,20071111,NYK,MIA
Shot Chart Detail,0020700087,288,2037,Jamal Crawford,1610612752,New York Knicks,3,3,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-82,53,1,1,20071111,NYK,MIA
Shot Chart Detail,0020700102,23,2037,Jamal Crawford,1610612752,New York Knicks,1,8,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,138,97,1,1,20071113,PHX,NYK
Shot Chart Detail,0020700102,46,2037,Jamal Crawford,1610612752,New York Knicks,1,6,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,212,137,1,1,20071113,PHX,NYK
Shot Chart Detail,0020700102,77,2037,Jamal Crawford,1610612752,New York Knicks,1,3,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-108,143,1,1,20071113,PHX,NYK
Shot Chart Detail,0020700102,170,2037,Jamal Crawford,1610612752,New York Knicks,2,6,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,192,217,1,1,20071113,PHX,NYK
Shot Chart Detail,0020700102,245,2037,Jamal Crawford,1610612752,New York Knicks,2,0,33,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,46,84,1,1,20071113,PHX,NYK
Shot Chart Detail,0020700102,266,2037,Jamal Crawford,1610612752,New York Knicks,3,10,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-128,140,1,1,20071113,PHX,NYK
