GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700021,31,708,Kevin Garnett,1610612738,Boston Celtics,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,125,43,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,73,708,Kevin Garnett,1610612738,Boston Celtics,1,3,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,167,708,Kevin Garnett,1610612738,Boston Celtics,2,5,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-99,22,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,206,708,Kevin Garnett,1610612738,Boston Celtics,2,2,3,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,18,61,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,278,708,Kevin Garnett,1610612738,Boston Celtics,3,6,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-128,133,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,281,708,Kevin Garnett,1610612738,Boston Celtics,3,6,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-115,164,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,338,708,Kevin Garnett,1610612738,Boston Celtics,3,1,48,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,61,156,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,452,708,Kevin Garnett,1610612738,Boston Celtics,4,4,41,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-64,33,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,478,708,Kevin Garnett,1610612738,Boston Celtics,4,2,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,2,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700035,54,708,Kevin Garnett,1610612738,Boston Celtics,1,5,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,5,87,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,96,708,Kevin Garnett,1610612738,Boston Celtics,1,0,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,154,708,Kevin Garnett,1610612738,Boston Celtics,2,6,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-189,0,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,254,708,Kevin Garnett,1610612738,Boston Celtics,3,8,56,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,274,708,Kevin Garnett,1610612738,Boston Celtics,3,6,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-108,178,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,490,708,Kevin Garnett,1610612738,Boston Celtics,5,3,31,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,36,1,1,20071104,TOR,BOS
