GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700005,7,2072,Michael Redd,1610612749,Milwaukee Bucks,1,10,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-103,141,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,13,2072,Michael Redd,1610612749,Milwaukee Bucks,1,9,58,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,8,125,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,45,2072,Michael Redd,1610612749,Milwaukee Bucks,1,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,35,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,53,2072,Michael Redd,1610612749,Milwaukee Bucks,1,5,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,-5,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,59,2072,Michael Redd,1610612749,Milwaukee Bucks,1,4,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,239,2072,Michael Redd,1610612749,Milwaukee Bucks,2,1,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-122,54,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,260,2072,Michael Redd,1610612749,Milwaukee Bucks,3,10,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,138,128,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,326,2072,Michael Redd,1610612749,Milwaukee Bucks,3,2,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-118,161,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700015,12,2072,Michael Redd,1610612749,Milwaukee Bucks,1,9,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,76,2072,Michael Redd,1610612749,Milwaukee Bucks,1,3,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,54,128,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,205,2072,Michael Redd,1610612749,Milwaukee Bucks,2,3,34,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,31,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,221,2072,Michael Redd,1610612749,Milwaukee Bucks,2,2,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-141,107,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,227,2072,Michael Redd,1610612749,Milwaukee Bucks,2,1,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,235,2072,Michael Redd,1610612749,Milwaukee Bucks,2,1,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,245,2072,Michael Redd,1610612749,Milwaukee Bucks,2,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700015,417,2072,Michael Redd,1610612749,Milwaukee Bucks,4,7,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-163,92,1,1,20071102,CHA,MIL
Shot Chart Detail,0020700031,23,2072,Michael Redd,1610612749,Milwaukee Bucks,1,8,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-131,160,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,54,2072,Michael Redd,1610612749,Milwaukee Bucks,1,5,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,207,150,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,228,2072,Michael Redd,1610612749,Milwaukee Bucks,2,0,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,251,2072,Michael Redd,1610612749,Milwaukee Bucks,3,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,97,120,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,307,2072,Michael Redd,1610612749,Milwaukee Bucks,3,3,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,43,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,312,2072,Michael Redd,1610612749,Milwaukee Bucks,3,3,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-181,186,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,315,2072,Michael Redd,1610612749,Milwaukee Bucks,3,2,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,117,222,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700031,340,2072,Michael Redd,1610612749,Milwaukee Bucks,3,0,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,47,-3,1,1,20071103,MIL,CHI
Shot Chart Detail,0020700047,66,2072,Michael Redd,1610612749,Milwaukee Bucks,1,3,42,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,17,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700047,69,2072,Michael Redd,1610612749,Milwaukee Bucks,1,3,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700047,92,2072,Michael Redd,1610612749,Milwaukee Bucks,1,1,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700047,97,2072,Michael Redd,1610612749,Milwaukee Bucks,1,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-143,107,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700047,225,2072,Michael Redd,1610612749,Milwaukee Bucks,3,8,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-52,265,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700047,229,2072,Michael Redd,1610612749,Milwaukee Bucks,3,8,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-97,76,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700047,290,2072,Michael Redd,1610612749,Milwaukee Bucks,3,0,28,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,58,1,1,20071106,MIL,TOR
Shot Chart Detail,0020700074,20,2072,Michael Redd,1610612749,Milwaukee Bucks,1,9,27,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,47,2072,Michael Redd,1610612749,Milwaukee Bucks,1,7,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,72,2072,Michael Redd,1610612749,Milwaukee Bucks,1,3,52,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-64,178,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,184,2072,Michael Redd,1610612749,Milwaukee Bucks,2,7,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-123,127,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,189,2072,Michael Redd,1610612749,Milwaukee Bucks,2,6,9,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-120,107,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,208,2072,Michael Redd,1610612749,Milwaukee Bucks,2,3,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,225,2072,Michael Redd,1610612749,Milwaukee Bucks,2,1,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700074,437,2072,Michael Redd,1610612749,Milwaukee Bucks,4,2,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,HOU,MIL
Shot Chart Detail,0020700090,15,2072,Michael Redd,1610612749,Milwaukee Bucks,1,10,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,136,109,1,1,20071111,SAS,MIL
Shot Chart Detail,0020700090,46,2072,Michael Redd,1610612749,Milwaukee Bucks,1,6,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,8,1,1,20071111,SAS,MIL
Shot Chart Detail,0020700110,22,2072,Michael Redd,1610612749,Milwaukee Bucks,1,10,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,115,168,1,1,20071114,MIL,MEM
