GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700006,40,2399,Mike Dunleavy,1610612754,Indiana Pacers,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-85,158,1,1,20071031,IND,WAS
Shot Chart Detail,0020700006,67,2399,Mike Dunleavy,1610612754,Indiana Pacers,1,5,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,149,141,1,1,20071031,IND,WAS
Shot Chart Detail,0020700006,167,2399,Mike Dunleavy,1610612754,Indiana Pacers,2,8,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-49,35,1,1,20071031,IND,WAS
Shot Chart Detail,0020700006,258,2399,Mike Dunleavy,1610612754,Indiana Pacers,2,0,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-97,225,1,1,20071031,IND,WAS
Shot Chart Detail,0020700006,321,2399,Mike Dunleavy,1610612754,Indiana Pacers,3,7,18,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-6,1,1,20071031,IND,WAS
Shot Chart Detail,0020700006,448,2399,Mike Dunleavy,1610612754,Indiana Pacers,4,8,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-79,194,1,1,20071031,IND,WAS
Shot Chart Detail,0020700006,588,2399,Mike Dunleavy,1610612754,Indiana Pacers,5,2,42,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,3,1,1,20071031,IND,WAS
Shot Chart Detail,0020700017,3,2399,Mike Dunleavy,1610612754,Indiana Pacers,1,11,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,8,1,1,20071102,IND,MIA
Shot Chart Detail,0020700017,6,2399,Mike Dunleavy,1610612754,Indiana Pacers,1,10,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,5,1,1,20071102,IND,MIA
Shot Chart Detail,0020700017,26,2399,Mike Dunleavy,1610612754,Indiana Pacers,1,8,46,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,52,82,1,1,20071102,IND,MIA
Shot Chart Detail,0020700017,225,2399,Mike Dunleavy,1610612754,Indiana Pacers,2,1,59,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-54,48,1,1,20071102,IND,MIA
Shot Chart Detail,0020700017,258,2399,Mike Dunleavy,1610612754,Indiana Pacers,3,11,12,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,5,1,1,20071102,IND,MIA
