GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700021,84,951,Ray Allen,1610612738,Boston Celtics,1,2,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-8,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,92,951,Ray Allen,1610612738,Boston Celtics,1,1,34,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,49,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,94,951,Ray Allen,1610612738,Boston Celtics,1,0,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,122,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,164,951,Ray Allen,1610612738,Boston Celtics,2,6,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,66,150,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700021,241,951,Ray Allen,1610612738,Boston Celtics,3,10,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-214,143,1,1,20071102,BOS,WAS
Shot Chart Detail,0020700035,13,951,Ray Allen,1610612738,Boston Celtics,1,10,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,18,951,Ray Allen,1610612738,Boston Celtics,1,9,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-154,210,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,45,951,Ray Allen,1610612738,Boston Celtics,1,6,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,199,151,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,90,951,Ray Allen,1610612738,Boston Celtics,1,1,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,2,1,1,20071104,TOR,BOS
Shot Chart Detail,0020700035,249,951,Ray Allen,1610612738,Boston Celtics,3,9,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,85,232,1,1,20071104,TOR,BOS
