GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800002,390,2732,Ben Gordon,1610612741,Chicago Bulls,3,3,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-76,203,1,1,20081028,CHI,MIL
Shot Chart Detail,0020800002,399,2732,Ben Gordon,1610612741,Chicago Bulls,3,1,24,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,44,1,1,20081028,CHI,MIL
Shot Chart Detail,0020800002,419,2732,Ben Gordon,1610612741,Chicago Bulls,4,11,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-13,1,1,20081028,CHI,MIL
Shot Chart Detail,0020800002,484,2732,Ben Gordon,1610612741,Chicago Bulls,4,6,33,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081028,CHI,MIL
Shot Chart Detail,0020800002,493,2732,Ben Gordon,1610612741,Chicago Bulls,4,5,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,206,1,1,1,20081028,CHI,MIL
Shot Chart Detail,0020800002,519,2732,Ben Gordon,1610612741,Chicago Bulls,4,3,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-10,1,1,20081028,CHI,MIL
Shot Chart Detail,0020800022,359,2732,Ben Gordon,1610612741,Chicago Bulls,3,4,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800022,407,2732,Ben Gordon,1610612741,Chicago Bulls,3,1,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,43,189,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800022,525,2732,Ben Gordon,1610612741,Chicago Bulls,4,4,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,156,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800034,383,2732,Ben Gordon,1610612741,Chicago Bulls,3,1,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,108,153,1,1,20081101,CHI,MEM
Shot Chart Detail,0020800034,393,2732,Ben Gordon,1610612741,Chicago Bulls,3,0,0,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-45,69,1,1,20081101,CHI,MEM
Shot Chart Detail,0020800034,402,2732,Ben Gordon,1610612741,Chicago Bulls,4,11,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,185,162,1,1,20081101,CHI,MEM
Shot Chart Detail,0020800043,153,2732,Ben Gordon,1610612741,Chicago Bulls,2,11,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-160,97,1,1,20081103,ORL,CHI
Shot Chart Detail,0020800043,246,2732,Ben Gordon,1610612741,Chicago Bulls,2,3,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-172,127,1,1,20081103,ORL,CHI
Shot Chart Detail,0020800043,250,2732,Ben Gordon,1610612741,Chicago Bulls,2,3,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,126,1,1,20081103,ORL,CHI
Shot Chart Detail,0020800043,371,2732,Ben Gordon,1610612741,Chicago Bulls,3,4,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,205,1,1,20081103,ORL,CHI
