GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800037,343,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,9,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-161,55,1,1,20081101,DEN,LAL
Shot Chart Detail,0020800037,548,2546,Carmelo Anthony,1610612743,Denver Nuggets,4,4,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,209,48,1,1,20081101,DEN,LAL
Shot Chart Detail,0020800037,551,2546,Carmelo Anthony,1610612743,Denver Nuggets,4,4,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-201,159,1,1,20081101,DEN,LAL
Shot Chart Detail,0020800037,581,2546,Carmelo Anthony,1610612743,Denver Nuggets,4,0,59,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,25,1,1,20081101,DEN,LAL
Shot Chart Detail,0020800037,588,2546,Carmelo Anthony,1610612743,Denver Nuggets,4,0,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,39,260,1,1,20081101,DEN,LAL
Shot Chart Detail,0020800062,8,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,10,59,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,-6,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,31,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,9,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,113,167,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,57,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,5,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,22,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,69,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,4,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-160,71,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,204,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,6,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,23,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,246,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,3,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,133,145,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,289,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,0,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-213,-6,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,305,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,10,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,358,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,5,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,1,20081105,GSW,DEN
Shot Chart Detail,0020800062,371,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,4,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,26,1,1,20081105,GSW,DEN
