GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800014,7,2561,David West,1610612740,New Orleans Hornets,1,11,6,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-49,105,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,205,2561,David West,1610612740,New Orleans Hornets,2,3,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,15,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,238,2561,David West,1610612740,New Orleans Hornets,2,0,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,12,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,315,2561,David West,1610612740,New Orleans Hornets,3,6,35,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-125,0,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,351,2561,David West,1610612740,New Orleans Hornets,3,1,50,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,12,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,385,2561,David West,1610612740,New Orleans Hornets,4,11,16,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,28,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,401,2561,David West,1610612740,New Orleans Hornets,4,9,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,94,134,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,408,2561,David West,1610612740,New Orleans Hornets,4,9,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,29,173,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800014,425,2561,David West,1610612740,New Orleans Hornets,4,7,33,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-136,6,1,1,20081029,GSW,NOH
Shot Chart Detail,0020800018,52,2561,David West,1610612740,New Orleans Hornets,1,5,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-117,61,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800018,87,2561,David West,1610612740,New Orleans Hornets,1,2,24,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,83,58,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800018,202,2561,David West,1610612740,New Orleans Hornets,2,4,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,149,101,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800018,273,2561,David West,1610612740,New Orleans Hornets,3,10,18,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,70,42,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800018,327,2561,David West,1610612740,New Orleans Hornets,3,5,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,59,164,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800018,329,2561,David West,1610612740,New Orleans Hornets,3,4,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,127,99,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800018,359,2561,David West,1610612740,New Orleans Hornets,3,0,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-164,56,1,1,20081030,PHX,NOH
Shot Chart Detail,0020800033,35,2561,David West,1610612740,New Orleans Hornets,1,7,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-78,149,1,1,20081101,NOH,CLE
Shot Chart Detail,0020800033,173,2561,David West,1610612740,New Orleans Hornets,2,7,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,14,71,1,1,20081101,NOH,CLE
Shot Chart Detail,0020800033,190,2561,David West,1610612740,New Orleans Hornets,2,5,52,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,71,1,1,20081101,NOH,CLE
Shot Chart Detail,0020800033,254,2561,David West,1610612740,New Orleans Hornets,2,0,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-182,75,1,1,20081101,NOH,CLE
Shot Chart Detail,0020800033,276,2561,David West,1610612740,New Orleans Hornets,3,9,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,26,1,1,20081101,NOH,CLE
