GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800017,221,1891,Jason Terry,1610612742,Dallas Mavericks,2,4,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081030,DAL,HOU
Shot Chart Detail,0020800017,370,1891,Jason Terry,1610612742,Dallas Mavericks,3,2,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,219,1,1,20081030,DAL,HOU
Shot Chart Detail,0020800017,435,1891,Jason Terry,1610612742,Dallas Mavericks,4,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081030,DAL,HOU
Shot Chart Detail,0020800017,507,1891,Jason Terry,1610612742,Dallas Mavericks,4,2,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-172,37,1,1,20081030,DAL,HOU
Shot Chart Detail,0020800032,96,1891,Jason Terry,1610612742,Dallas Mavericks,1,2,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,28,181,1,1,20081101,MIN,DAL
Shot Chart Detail,0020800032,165,1891,Jason Terry,1610612742,Dallas Mavericks,2,8,39,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,108,134,1,1,20081101,MIN,DAL
Shot Chart Detail,0020800032,172,1891,Jason Terry,1610612742,Dallas Mavericks,2,7,24,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,6,1,1,20081101,MIN,DAL
Shot Chart Detail,0020800032,348,1891,Jason Terry,1610612742,Dallas Mavericks,3,2,6,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081101,MIN,DAL
Shot Chart Detail,0020800032,350,1891,Jason Terry,1610612742,Dallas Mavericks,3,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-215,131,1,1,20081101,MIN,DAL
Shot Chart Detail,0020800032,378,1891,Jason Terry,1610612742,Dallas Mavericks,4,10,54,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,1,119,1,1,20081101,MIN,DAL
