GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800009,10,2755,Kevin Martin,1610612758,Sacramento Kings,1,10,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-198,160,1,1,20081029,MIN,SAC
Shot Chart Detail,0020800009,28,2755,Kevin Martin,1610612758,Sacramento Kings,1,8,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,MIN,SAC
Shot Chart Detail,0020800009,216,2755,Kevin Martin,1610612758,Sacramento Kings,2,4,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-182,175,1,1,20081029,MIN,SAC
Shot Chart Detail,0020800009,281,2755,Kevin Martin,1610612758,Sacramento Kings,3,9,29,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,MIN,SAC
Shot Chart Detail,0020800009,288,2755,Kevin Martin,1610612758,Sacramento Kings,3,8,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,36,1,1,20081029,MIN,SAC
Shot Chart Detail,0020800021,96,2755,Kevin Martin,1610612758,Sacramento Kings,1,2,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,136,164,1,1,20081031,MIA,SAC
Shot Chart Detail,0020800021,158,2755,Kevin Martin,1610612758,Sacramento Kings,2,9,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,37,194,1,1,20081031,MIA,SAC
Shot Chart Detail,0020800029,3,2755,Kevin Martin,1610612758,Sacramento Kings,1,11,46,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,44,2755,Kevin Martin,1610612758,Sacramento Kings,1,6,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,99,2755,Kevin Martin,1610612758,Sacramento Kings,1,2,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-103,159,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,137,2755,Kevin Martin,1610612758,Sacramento Kings,2,11,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,58,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,215,2755,Kevin Martin,1610612758,Sacramento Kings,2,4,5,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,12,143,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,245,2755,Kevin Martin,1610612758,Sacramento Kings,2,1,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-150,110,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,300,2755,Kevin Martin,1610612758,Sacramento Kings,3,8,36,Made Shot,Running Bank shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-134,99,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,328,2755,Kevin Martin,1610612758,Sacramento Kings,3,5,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,190,175,1,1,20081101,ORL,SAC
Shot Chart Detail,0020800029,353,2755,Kevin Martin,1610612758,Sacramento Kings,3,3,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,194,1,1,20081101,ORL,SAC
