GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800011,7,1495,Tim Duncan,1610612759,San Antonio Spurs,1,11,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,86,156,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,46,1495,Tim Duncan,1610612759,San Antonio Spurs,1,6,21,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,41,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,63,1495,Tim Duncan,1610612759,San Antonio Spurs,1,4,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-76,7,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,77,1495,Tim Duncan,1610612759,San Antonio Spurs,1,3,43,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-68,22,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,149,1495,Tim Duncan,1610612759,San Antonio Spurs,2,7,27,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,31,52,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,154,1495,Tim Duncan,1610612759,San Antonio Spurs,2,7,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,42,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,266,1495,Tim Duncan,1610612759,San Antonio Spurs,3,11,42,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-141,63,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,268,1495,Tim Duncan,1610612759,San Antonio Spurs,3,10,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,7,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,270,1495,Tim Duncan,1610612759,San Antonio Spurs,3,10,10,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-160,67,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,275,1495,Tim Duncan,1610612759,San Antonio Spurs,3,9,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-101,178,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,319,1495,Tim Duncan,1610612759,San Antonio Spurs,3,4,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-89,162,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,383,1495,Tim Duncan,1610612759,San Antonio Spurs,4,10,56,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,55,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800011,403,1495,Tim Duncan,1610612759,San Antonio Spurs,4,9,0,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20081029,SAS,PHX
Shot Chart Detail,0020800025,16,1495,Tim Duncan,1610612759,San Antonio Spurs,1,9,18,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-41,45,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,46,1495,Tim Duncan,1610612759,San Antonio Spurs,1,6,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,70,1495,Tim Duncan,1610612759,San Antonio Spurs,1,4,37,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,37,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,77,1495,Tim Duncan,1610612759,San Antonio Spurs,1,3,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,-2,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,126,1495,Tim Duncan,1610612759,San Antonio Spurs,2,10,46,Made Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,30,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,144,1495,Tim Duncan,1610612759,San Antonio Spurs,2,8,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,194,1495,Tim Duncan,1610612759,San Antonio Spurs,2,6,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,75,83,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,226,1495,Tim Duncan,1610612759,San Antonio Spurs,2,2,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,244,1495,Tim Duncan,1610612759,San Antonio Spurs,3,11,43,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-111,101,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,257,1495,Tim Duncan,1610612759,San Antonio Spurs,3,9,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,306,1495,Tim Duncan,1610612759,San Antonio Spurs,3,2,58,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,21,36,1,1,20081031,POR,SAS
Shot Chart Detail,0020800025,367,1495,Tim Duncan,1610612759,San Antonio Spurs,4,8,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081031,POR,SAS
Shot Chart Detail,0020800050,30,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,122,149,1,1,20081104,SAS,DAL
Shot Chart Detail,0020800050,47,1495,Tim Duncan,1610612759,San Antonio Spurs,1,5,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,9,1,1,20081104,SAS,DAL
Shot Chart Detail,0020800050,174,1495,Tim Duncan,1610612759,San Antonio Spurs,2,3,33,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-75,1,1,1,20081104,SAS,DAL
Shot Chart Detail,0020800050,233,1495,Tim Duncan,1610612759,San Antonio Spurs,3,8,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,113,162,1,1,20081104,SAS,DAL
