GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900014,12,101114,Deron Williams,1610612762,Utah Jazz,1,10,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-204,22,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,178,101114,Deron Williams,1610612762,Utah Jazz,2,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,26,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,251,101114,Deron Williams,1610612762,Utah Jazz,2,1,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-30,45,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,260,101114,Deron Williams,1610612762,Utah Jazz,2,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-45,247,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,313,101114,Deron Williams,1610612762,Utah Jazz,3,8,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-229,115,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,318,101114,Deron Williams,1610612762,Utah Jazz,3,7,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,1,159,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,323,101114,Deron Williams,1610612762,Utah Jazz,3,6,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,351,101114,Deron Williams,1610612762,Utah Jazz,3,3,43,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,56,44,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900014,467,101114,Deron Williams,1610612762,Utah Jazz,4,7,43,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,160,80,1,1,20091028,DEN,UTA
Shot Chart Detail,0020900029,9,101114,Deron Williams,1610612762,Utah Jazz,1,11,23,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,31,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,24,101114,Deron Williams,1610612762,Utah Jazz,1,10,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-117,156,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,54,101114,Deron Williams,1610612762,Utah Jazz,1,6,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,108,227,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,217,101114,Deron Williams,1610612762,Utah Jazz,2,6,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-67,164,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,220,101114,Deron Williams,1610612762,Utah Jazz,2,6,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,274,101114,Deron Williams,1610612762,Utah Jazz,2,1,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,278,101114,Deron Williams,1610612762,Utah Jazz,2,0,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-62,241,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,376,101114,Deron Williams,1610612762,Utah Jazz,3,1,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900048,35,101114,Deron Williams,1610612762,Utah Jazz,1,8,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-67,242,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900048,82,101114,Deron Williams,1610612762,Utah Jazz,1,3,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,17,1,1,20091102,UTA,HOU
