GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900044,5,2202,Jason Richardson,1610612756,Phoenix Suns,1,11,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,31,2202,Jason Richardson,1610612756,Phoenix Suns,1,8,32,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,14,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,111,2202,Jason Richardson,1610612756,Phoenix Suns,1,1,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-215,119,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,289,2202,Jason Richardson,1610612756,Phoenix Suns,3,11,26,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,39,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,299,2202,Jason Richardson,1610612756,Phoenix Suns,3,9,49,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,12,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,319,2202,Jason Richardson,1610612756,Phoenix Suns,3,7,5,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,-14,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,338,2202,Jason Richardson,1610612756,Phoenix Suns,3,5,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-122,217,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900044,531,2202,Jason Richardson,1610612756,Phoenix Suns,4,1,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-229,94,1,1,20091101,PHX,MIN
Shot Chart Detail,0020900055,16,2202,Jason Richardson,1610612756,Phoenix Suns,1,10,5,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,MIA,PHX
Shot Chart Detail,0020900055,331,2202,Jason Richardson,1610612756,Phoenix Suns,3,5,34,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,MIA,PHX
Shot Chart Detail,0020900055,408,2202,Jason Richardson,1610612756,Phoenix Suns,4,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-92,93,1,1,20091103,MIA,PHX
Shot Chart Detail,0020900055,427,2202,Jason Richardson,1610612756,Phoenix Suns,4,8,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,41,1,1,20091103,MIA,PHX
Shot Chart Detail,0020900055,463,2202,Jason Richardson,1610612756,Phoenix Suns,4,4,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,28,1,1,20091103,MIA,PHX
Shot Chart Detail,0020900055,466,2202,Jason Richardson,1610612756,Phoenix Suns,4,4,11,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,MIA,PHX
Shot Chart Detail,0020900076,10,2202,Jason Richardson,1610612756,Phoenix Suns,1,11,16,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,-11,1,1,20091106,BOS,PHX
