GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900017,17,2422,John Salmons,1610612741,Chicago Bulls,1,9,47,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-76,52,1,1,20091029,CHI,SAS
Shot Chart Detail,0020900017,217,2422,John Salmons,1610612741,Chicago Bulls,2,3,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,205,1,1,20091029,CHI,SAS
Shot Chart Detail,0020900017,506,2422,John Salmons,1610612741,Chicago Bulls,4,1,29,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-67,52,1,1,20091029,CHI,SAS
Shot Chart Detail,0020900022,210,2422,John Salmons,1610612741,Chicago Bulls,2,5,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-188,33,1,1,20091030,BOS,CHI
Shot Chart Detail,0020900022,224,2422,John Salmons,1610612741,Chicago Bulls,2,4,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-194,149,1,1,20091030,BOS,CHI
Shot Chart Detail,0020900041,13,2422,John Salmons,1610612741,Chicago Bulls,1,10,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,124,123,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900041,18,2422,John Salmons,1610612741,Chicago Bulls,1,9,54,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,102,4,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900041,36,2422,John Salmons,1610612741,Chicago Bulls,1,7,26,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,91,138,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900041,81,2422,John Salmons,1610612741,Chicago Bulls,1,2,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-112,97,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900041,94,2422,John Salmons,1610612741,Chicago Bulls,1,0,22,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900041,425,2422,John Salmons,1610612741,Chicago Bulls,4,6,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900041,450,2422,John Salmons,1610612741,Chicago Bulls,4,3,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-142,203,1,1,20091101,MIA,CHI
Shot Chart Detail,0020900056,159,2422,John Salmons,1610612741,Chicago Bulls,2,8,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,162,80,1,1,20091103,CHI,MIL
Shot Chart Detail,0020900056,185,2422,John Salmons,1610612741,Chicago Bulls,2,5,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,CHI,MIL
Shot Chart Detail,0020900056,347,2422,John Salmons,1610612741,Chicago Bulls,3,3,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,214,119,1,1,20091103,CHI,MIL
Shot Chart Detail,0020900070,4,2422,John Salmons,1610612741,Chicago Bulls,1,11,34,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,20,1,1,20091105,CLE,CHI
Shot Chart Detail,0020900070,29,2422,John Salmons,1610612741,Chicago Bulls,1,7,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,1,20091105,CLE,CHI
Shot Chart Detail,0020900070,53,2422,John Salmons,1610612741,Chicago Bulls,1,5,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,0,146,1,1,20091105,CLE,CHI
Shot Chart Detail,0020900070,207,2422,John Salmons,1610612741,Chicago Bulls,2,2,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20091105,CLE,CHI
Shot Chart Detail,0020900070,228,2422,John Salmons,1610612741,Chicago Bulls,2,0,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,156,1,1,20091105,CLE,CHI
Shot Chart Detail,0020900070,270,2422,John Salmons,1610612741,Chicago Bulls,3,9,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,3,1,1,20091105,CLE,CHI
Shot Chart Detail,0020900087,43,2422,John Salmons,1610612741,Chicago Bulls,1,6,42,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,-2,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,48,2422,John Salmons,1610612741,Chicago Bulls,1,6,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,109,2422,John Salmons,1610612741,Chicago Bulls,1,1,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,61,160,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,115,2422,John Salmons,1610612741,Chicago Bulls,1,0,31,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,89,131,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,210,2422,John Salmons,1610612741,Chicago Bulls,2,1,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,273,2422,John Salmons,1610612741,Chicago Bulls,3,7,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,293,2422,John Salmons,1610612741,Chicago Bulls,3,5,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,322,2422,John Salmons,1610612741,Chicago Bulls,3,3,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900087,416,2422,John Salmons,1610612741,Chicago Bulls,4,5,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-46,249,1,1,20091107,CHI,CHA
Shot Chart Detail,0020900105,287,2422,John Salmons,1610612741,Chicago Bulls,3,7,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,0,1,1,20091110,CHI,DEN
Shot Chart Detail,0020900105,304,2422,John Salmons,1610612741,Chicago Bulls,3,4,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,209,127,1,1,20091110,CHI,DEN
Shot Chart Detail,0020900105,451,2422,John Salmons,1610612741,Chicago Bulls,4,3,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-16,1,1,20091110,CHI,DEN
Shot Chart Detail,0020900110,234,2422,John Salmons,1610612741,Chicago Bulls,2,1,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,-2,1,1,20091111,TOR,CHI
Shot Chart Detail,0020900139,85,2422,John Salmons,1610612741,Chicago Bulls,1,2,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,114,179,1,1,20091114,CHI,PHI
Shot Chart Detail,0020900139,106,2422,John Salmons,1610612741,Chicago Bulls,2,11,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-150,80,1,1,20091114,CHI,PHI
Shot Chart Detail,0020900139,213,2422,John Salmons,1610612741,Chicago Bulls,2,1,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-152,12,1,1,20091114,CHI,PHI
Shot Chart Detail,0020900139,234,2422,John Salmons,1610612741,Chicago Bulls,3,10,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,258,1,1,20091114,CHI,PHI
Shot Chart Detail,0020900139,428,2422,John Salmons,1610612741,Chicago Bulls,4,4,44,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,54,63,1,1,20091114,CHI,PHI
Shot Chart Detail,0020900156,32,2422,John Salmons,1610612741,Chicago Bulls,1,7,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,47,2422,John Salmons,1610612741,Chicago Bulls,1,7,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,71,2422,John Salmons,1610612741,Chicago Bulls,1,4,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-153,184,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,201,2422,John Salmons,1610612741,Chicago Bulls,2,2,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,350,2422,John Salmons,1610612741,Chicago Bulls,3,1,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,11,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,363,2422,John Salmons,1610612741,Chicago Bulls,3,0,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,366,2422,John Salmons,1610612741,Chicago Bulls,3,0,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,31,252,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,368,2422,John Salmons,1610612741,Chicago Bulls,3,0,9,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900156,459,2422,John Salmons,1610612741,Chicago Bulls,4,3,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,173,1,1,20091117,SAC,CHI
Shot Chart Detail,0020900172,29,2422,John Salmons,1610612741,Chicago Bulls,1,9,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,142,205,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900172,35,2422,John Salmons,1610612741,Chicago Bulls,1,8,44,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900172,85,2422,John Salmons,1610612741,Chicago Bulls,1,3,28,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900172,167,2422,John Salmons,1610612741,Chicago Bulls,2,7,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,189,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900172,184,2422,John Salmons,1610612741,Chicago Bulls,2,6,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900172,227,2422,John Salmons,1610612741,Chicago Bulls,2,1,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,186,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900172,232,2422,John Salmons,1610612741,Chicago Bulls,2,0,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,80,179,1,1,20091119,LAL,CHI
Shot Chart Detail,0020900189,155,2422,John Salmons,1610612741,Chicago Bulls,2,10,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091121,DEN,CHI
Shot Chart Detail,0020900189,163,2422,John Salmons,1610612741,Chicago Bulls,2,9,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-183,53,1,1,20091121,DEN,CHI
Shot Chart Detail,0020900200,27,2422,John Salmons,1610612741,Chicago Bulls,1,9,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-5,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,37,2422,John Salmons,1610612741,Chicago Bulls,1,7,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,95,159,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,68,2422,John Salmons,1610612741,Chicago Bulls,1,3,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,91,178,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,89,2422,John Salmons,1610612741,Chicago Bulls,1,1,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,114,82,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,199,2422,John Salmons,1610612741,Chicago Bulls,2,4,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,179,69,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,226,2422,John Salmons,1610612741,Chicago Bulls,2,2,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,276,2422,John Salmons,1610612741,Chicago Bulls,3,8,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,116,9,1,1,20091123,POR,CHI
Shot Chart Detail,0020900200,317,2422,John Salmons,1610612741,Chicago Bulls,3,4,23,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-78,85,1,1,20091123,POR,CHI
Shot Chart Detail,0020900221,4,2422,John Salmons,1610612741,Chicago Bulls,1,11,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,146,146,1,1,20091126,UTA,CHI
Shot Chart Detail,0020900221,33,2422,John Salmons,1610612741,Chicago Bulls,1,7,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091126,UTA,CHI
Shot Chart Detail,0020900221,250,2422,John Salmons,1610612741,Chicago Bulls,3,8,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091126,UTA,CHI
Shot Chart Detail,0020900221,419,2422,John Salmons,1610612741,Chicago Bulls,4,6,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091126,UTA,CHI
Shot Chart Detail,0020900249,100,2422,John Salmons,1610612741,Chicago Bulls,1,2,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,147,31,1,1,20091130,MIL,CHI
Shot Chart Detail,0020900249,102,2422,John Salmons,1610612741,Chicago Bulls,1,2,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,102,124,1,1,20091130,MIL,CHI
