GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000007,22,2405,Amar'e Stoudemire,1610612752,New York Knicks,1,9,56,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000007,79,2405,Amar'e Stoudemire,1610612752,New York Knicks,1,4,37,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,73,53,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000007,197,2405,Amar'e Stoudemire,1610612752,New York Knicks,2,7,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,0,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000007,315,2405,Amar'e Stoudemire,1610612752,New York Knicks,3,8,45,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,64,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000007,500,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,3,52,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,28,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000007,505,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,3,12,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,25,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000007,514,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,2,40,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,32,61,1,1,20101027,TOR,NYK
Shot Chart Detail,0021000023,9,2405,Amar'e Stoudemire,1610612752,New York Knicks,1,11,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-134,159,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,233,2405,Amar'e Stoudemire,1610612752,New York Knicks,2,1,54,Made Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,28,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,260,2405,Amar'e Stoudemire,1610612752,New York Knicks,3,11,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-79,124,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,317,2405,Amar'e Stoudemire,1610612752,New York Knicks,3,6,34,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-2,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,464,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,4,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,-10,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,472,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,3,38,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,509,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,0,36,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,72,45,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000023,525,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,0,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,12,249,1,1,20101029,BOS,NYK
Shot Chart Detail,0021000033,12,2405,Amar'e Stoudemire,1610612752,New York Knicks,1,9,58,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,6,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,34,2405,Amar'e Stoudemire,1610612752,New York Knicks,1,6,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,9,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,242,2405,Amar'e Stoudemire,1610612752,New York Knicks,2,2,28,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,50,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,276,2405,Amar'e Stoudemire,1610612752,New York Knicks,3,10,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,283,2405,Amar'e Stoudemire,1610612752,New York Knicks,3,10,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,-6,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,303,2405,Amar'e Stoudemire,1610612752,New York Knicks,3,8,34,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-15,72,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,421,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,11,24,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,31,1,1,20101030,NYK,POR
Shot Chart Detail,0021000033,436,2405,Amar'e Stoudemire,1610612752,New York Knicks,4,9,53,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,22,1,1,20101030,NYK,POR
