GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000015,53,2748,Dorell Wright,1610612744,Golden State Warriors,1,5,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,244,30,1,1,20101027,GSW,HOU
Shot Chart Detail,0021000015,124,2748,Dorell Wright,1610612744,Golden State Warriors,2,10,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,163,115,1,1,20101027,GSW,HOU
Shot Chart Detail,0021000015,274,2748,Dorell Wright,1610612744,Golden State Warriors,2,0,3,Made Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,28,1,1,20101027,GSW,HOU
Shot Chart Detail,0021000015,317,2748,Dorell Wright,1610612744,Golden State Warriors,3,8,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,100,1,1,1,20101027,GSW,HOU
Shot Chart Detail,0021000015,378,2748,Dorell Wright,1610612744,Golden State Warriors,3,3,46,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-142,201,1,1,20101027,GSW,HOU
Shot Chart Detail,0021000015,400,2748,Dorell Wright,1610612744,Golden State Warriors,3,1,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-103,184,1,1,20101027,GSW,HOU
Shot Chart Detail,0021000029,7,2748,Dorell Wright,1610612744,Golden State Warriors,1,11,6,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,48,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,29,2748,Dorell Wright,1610612744,Golden State Warriors,1,8,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-196,140,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,34,2748,Dorell Wright,1610612744,Golden State Warriors,1,8,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,88,247,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,248,2748,Dorell Wright,1610612744,Golden State Warriors,2,2,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,101,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,295,2748,Dorell Wright,1610612744,Golden State Warriors,3,8,48,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-5,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,318,2748,Dorell Wright,1610612744,Golden State Warriors,3,6,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,242,11,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,343,2748,Dorell Wright,1610612744,Golden State Warriors,3,4,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-122,219,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,417,2748,Dorell Wright,1610612744,Golden State Warriors,4,9,6,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,-17,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000029,511,2748,Dorell Wright,1610612744,Golden State Warriors,4,1,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-92,242,1,1,20101029,GSW,LAC
Shot Chart Detail,0021000043,40,2748,Dorell Wright,1610612744,Golden State Warriors,1,7,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000043,231,2748,Dorell Wright,1610612744,Golden State Warriors,2,3,14,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,15,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000043,298,2748,Dorell Wright,1610612744,Golden State Warriors,3,10,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000043,318,2748,Dorell Wright,1610612744,Golden State Warriors,3,8,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000043,377,2748,Dorell Wright,1610612744,Golden State Warriors,3,4,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,9,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000043,414,2748,Dorell Wright,1610612744,Golden State Warriors,3,2,0,Made Shot,Running Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,9,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000043,423,2748,Dorell Wright,1610612744,Golden State Warriors,3,0,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-117,225,1,1,20101031,LAL,GSW
Shot Chart Detail,0021000063,24,2748,Dorell Wright,1610612744,Golden State Warriors,1,9,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-149,201,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,155,2748,Dorell Wright,1610612744,Golden State Warriors,2,11,13,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-5,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,252,2748,Dorell Wright,1610612744,Golden State Warriors,2,3,24,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,129,230,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,287,2748,Dorell Wright,1610612744,Golden State Warriors,2,0,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-153,131,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,290,2748,Dorell Wright,1610612744,Golden State Warriors,2,0,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-205,160,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,301,2748,Dorell Wright,1610612744,Golden State Warriors,3,11,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,179,205,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,329,2748,Dorell Wright,1610612744,Golden State Warriors,3,8,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,121,246,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000063,355,2748,Dorell Wright,1610612744,Golden State Warriors,3,5,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,190,1,1,20101103,GSW,MEM
Shot Chart Detail,0021000078,77,2748,Dorell Wright,1610612744,Golden State Warriors,1,4,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-92,228,1,1,20101105,GSW,UTA
Shot Chart Detail,0021000078,232,2748,Dorell Wright,1610612744,Golden State Warriors,2,1,24,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,30,1,1,20101105,GSW,UTA
Shot Chart Detail,0021000078,404,2748,Dorell Wright,1610612744,Golden State Warriors,4,10,38,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-149,129,1,1,20101105,GSW,UTA
Shot Chart Detail,0021000091,12,2748,Dorell Wright,1610612744,Golden State Warriors,1,10,29,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,39,1,1,20101107,DET,GSW
Shot Chart Detail,0021000091,16,2748,Dorell Wright,1610612744,Golden State Warriors,1,10,2,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20101107,DET,GSW
Shot Chart Detail,0021000091,38,2748,Dorell Wright,1610612744,Golden State Warriors,1,6,30,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,4,1,1,20101107,DET,GSW
Shot Chart Detail,0021000091,277,2748,Dorell Wright,1610612744,Golden State Warriors,3,11,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,228,83,1,1,20101107,DET,GSW
Shot Chart Detail,0021000091,288,2748,Dorell Wright,1610612744,Golden State Warriors,3,9,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-141,209,1,1,20101107,DET,GSW
Shot Chart Detail,0021000091,355,2748,Dorell Wright,1610612744,Golden State Warriors,3,2,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,239,86,1,1,20101107,DET,GSW
Shot Chart Detail,0021000097,120,2748,Dorell Wright,1610612744,Golden State Warriors,2,10,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-161,186,1,1,20101108,TOR,GSW
Shot Chart Detail,0021000113,84,2748,Dorell Wright,1610612744,Golden State Warriors,1,5,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,31,1,1,20101110,NYK,GSW
Shot Chart Detail,0021000113,527,2748,Dorell Wright,1610612744,Golden State Warriors,4,6,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-163,183,1,1,20101110,NYK,GSW
Shot Chart Detail,0021000113,529,2748,Dorell Wright,1610612744,Golden State Warriors,4,5,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,0,1,1,20101110,NYK,GSW
Shot Chart Detail,0021000113,591,2748,Dorell Wright,1610612744,Golden State Warriors,4,1,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-164,186,1,1,20101110,NYK,GSW
Shot Chart Detail,0021000113,600,2748,Dorell Wright,1610612744,Golden State Warriors,4,0,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20101110,NYK,GSW
Shot Chart Detail,0021000119,13,2748,Dorell Wright,1610612744,Golden State Warriors,1,10,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-51,165,1,1,20101111,CHI,GSW
Shot Chart Detail,0021000119,75,2748,Dorell Wright,1610612744,Golden State Warriors,1,4,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-144,146,1,1,20101111,CHI,GSW
