GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000011,9,2736,Luol Deng,1610612741,Chicago Bulls,1,10,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-172,41,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,25,2736,Luol Deng,1610612741,Chicago Bulls,1,9,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,135,107,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,109,2736,Luol Deng,1610612741,Chicago Bulls,1,2,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,379,2736,Luol Deng,1610612741,Chicago Bulls,3,4,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,42,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,410,2736,Luol Deng,1610612741,Chicago Bulls,3,3,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000035,25,2736,Luol Deng,1610612741,Chicago Bulls,1,8,0,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,14,1,1,20101030,CHI,DET
Shot Chart Detail,0021000035,87,2736,Luol Deng,1610612741,Chicago Bulls,1,2,47,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,75,1,1,20101030,CHI,DET
Shot Chart Detail,0021000044,33,2736,Luol Deng,1610612741,Chicago Bulls,1,8,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,23,1,1,20101101,CHI,POR
Shot Chart Detail,0021000044,43,2736,Luol Deng,1610612741,Chicago Bulls,1,7,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,23,1,1,20101101,CHI,POR
Shot Chart Detail,0021000044,58,2736,Luol Deng,1610612741,Chicago Bulls,1,5,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,144,135,1,1,20101101,CHI,POR
Shot Chart Detail,0021000044,70,2736,Luol Deng,1610612741,Chicago Bulls,1,4,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-146,167,1,1,20101101,CHI,POR
