GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000013,14,2225,Tony Parker,1610612759,San Antonio Spurs,1,10,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,12,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,42,2225,Tony Parker,1610612759,San Antonio Spurs,1,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,15,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,121,2225,Tony Parker,1610612759,San Antonio Spurs,1,2,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,14,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,175,2225,Tony Parker,1610612759,San Antonio Spurs,2,9,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-139,116,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,315,2225,Tony Parker,1610612759,San Antonio Spurs,3,10,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,9,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,333,2225,Tony Parker,1610612759,San Antonio Spurs,3,7,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,72,176,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,496,2225,Tony Parker,1610612759,San Antonio Spurs,4,5,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-149,69,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,527,2225,Tony Parker,1610612759,San Antonio Spurs,4,2,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20101027,SAS,IND
Shot Chart Detail,0021000013,544,2225,Tony Parker,1610612759,San Antonio Spurs,4,1,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,4,1,1,20101027,SAS,IND
Shot Chart Detail,0021000039,3,2225,Tony Parker,1610612759,San Antonio Spurs,1,11,39,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,-5,1,1,20101030,SAS,NOH
Shot Chart Detail,0021000039,31,2225,Tony Parker,1610612759,San Antonio Spurs,1,8,36,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,51,48,1,1,20101030,SAS,NOH
Shot Chart Detail,0021000039,67,2225,Tony Parker,1610612759,San Antonio Spurs,1,5,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,25,1,1,20101030,SAS,NOH
Shot Chart Detail,0021000039,105,2225,Tony Parker,1610612759,San Antonio Spurs,1,2,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-75,164,1,1,20101030,SAS,NOH
