GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100007,30,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,7,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,44,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,6,13,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,30,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,255,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,0,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-59,140,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,312,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,7,0,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,413,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,11,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,14,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,453,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,7,9,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,56,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,502,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,2,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,177,187,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100007,504,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,1,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,29,261,1,1,20111226,CHA,MIL
Shot Chart Detail,0021100020,39,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,8,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,1,1,1,20111227,MIL,MIN
Shot Chart Detail,0021100020,89,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,5,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-65,153,1,1,20111227,MIL,MIN
Shot Chart Detail,0021100020,182,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,0,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-8,93,1,1,20111227,MIL,MIN
Shot Chart Detail,0021100020,294,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,3,5,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,20,1,1,20111227,MIL,MIN
Shot Chart Detail,0021100020,350,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,9,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-149,167,1,1,20111227,MIL,MIN
Shot Chart Detail,0021100020,368,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,6,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1,20111227,MIL,MIN
