GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100003,13,2430,Carlos Boozer,1610612741,Chicago Bulls,1,9,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-146,55,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100003,190,2430,Carlos Boozer,1610612741,Chicago Bulls,2,6,19,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,39,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100003,199,2430,Carlos Boozer,1610612741,Chicago Bulls,2,5,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,0,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100003,203,2430,Carlos Boozer,1610612741,Chicago Bulls,2,3,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100003,216,2430,Carlos Boozer,1610612741,Chicago Bulls,2,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-119,80,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100003,398,2430,Carlos Boozer,1610612741,Chicago Bulls,4,8,45,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,67,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100003,493,2430,Carlos Boozer,1610612741,Chicago Bulls,4,1,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,4,1,1,20111225,LAL,CHI
Shot Chart Detail,0021100017,32,2430,Carlos Boozer,1610612741,Chicago Bulls,1,6,58,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,37,2430,Carlos Boozer,1610612741,Chicago Bulls,1,6,3,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,48,39,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,168,2430,Carlos Boozer,1610612741,Chicago Bulls,2,6,56,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,41,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100036,19,2430,Carlos Boozer,1610612741,Chicago Bulls,1,10,42,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-119,25,1,1,20111229,SAC,CHI
Shot Chart Detail,0021100036,43,2430,Carlos Boozer,1610612741,Chicago Bulls,1,7,44,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20111229,SAC,CHI
