GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100010,62,101122,Danny Granger,1610612754,Indiana Pacers,1,6,45,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,6,198,1,1,20111226,IND,DET
Shot Chart Detail,0021100010,250,101122,Danny Granger,1610612754,Indiana Pacers,2,1,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,23,252,1,1,20111226,IND,DET
Shot Chart Detail,0021100010,255,101122,Danny Granger,1610612754,Indiana Pacers,2,0,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-5,1,1,20111226,IND,DET
Shot Chart Detail,0021100010,263,101122,Danny Granger,1610612754,Indiana Pacers,3,11,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-106,179,1,1,20111226,IND,DET
Shot Chart Detail,0021100010,317,101122,Danny Granger,1610612754,Indiana Pacers,3,6,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,34,1,1,20111226,IND,DET
Shot Chart Detail,0021100010,446,101122,Danny Granger,1610612754,Indiana Pacers,4,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,147,197,1,1,20111226,IND,DET
Shot Chart Detail,0021100023,53,101122,Danny Granger,1610612754,Indiana Pacers,1,7,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,6,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,203,101122,Danny Granger,1610612754,Indiana Pacers,2,6,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-26,71,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,208,101122,Danny Granger,1610612754,Indiana Pacers,2,5,29,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-89,15,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,239,101122,Danny Granger,1610612754,Indiana Pacers,2,3,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,315,101122,Danny Granger,1610612754,Indiana Pacers,3,7,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,472,101122,Danny Granger,1610612754,Indiana Pacers,4,4,29,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,501,101122,Danny Granger,1610612754,Indiana Pacers,4,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-155,192,1,1,20111228,TOR,IND
Shot Chart Detail,0021100023,513,101122,Danny Granger,1610612754,Indiana Pacers,4,1,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,17,1,1,20111228,TOR,IND
Shot Chart Detail,0021100040,19,101122,Danny Granger,1610612754,Indiana Pacers,1,10,13,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,26,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,236,101122,Danny Granger,1610612754,Indiana Pacers,2,2,32,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,34,56,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,283,101122,Danny Granger,1610612754,Indiana Pacers,3,11,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,322,101122,Danny Granger,1610612754,Indiana Pacers,3,8,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-164,4,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,355,101122,Danny Granger,1610612754,Indiana Pacers,3,5,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,165,195,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,588,101122,Danny Granger,1610612754,Indiana Pacers,5,4,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-27,101,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,604,101122,Danny Granger,1610612754,Indiana Pacers,5,2,9,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,3,1,1,20111230,IND,CLE
Shot Chart Detail,0021100040,607,101122,Danny Granger,1610612754,Indiana Pacers,5,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-205,153,1,1,20111230,IND,CLE
Shot Chart Detail,0021100051,5,101122,Danny Granger,1610612754,Indiana Pacers,1,10,50,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,30,1,1,20111231,DET,IND
Shot Chart Detail,0021100051,245,101122,Danny Granger,1610612754,Indiana Pacers,2,0,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,-8,306,1,1,20111231,DET,IND
Shot Chart Detail,0021100051,268,101122,Danny Granger,1610612754,Indiana Pacers,3,9,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20111231,DET,IND
Shot Chart Detail,0021100051,402,101122,Danny Granger,1610612754,Indiana Pacers,4,8,31,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-13,108,1,1,20111231,DET,IND
Shot Chart Detail,0021100068,65,101122,Danny Granger,1610612754,Indiana Pacers,1,5,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,42,1,1,20120102,NJN,IND
Shot Chart Detail,0021100068,195,101122,Danny Granger,1610612754,Indiana Pacers,2,4,43,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,6,1,1,20120102,NJN,IND
Shot Chart Detail,0021100068,293,101122,Danny Granger,1610612754,Indiana Pacers,3,9,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,183,1,1,20120102,NJN,IND
Shot Chart Detail,0021100068,371,101122,Danny Granger,1610612754,Indiana Pacers,3,3,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-149,197,1,1,20120102,NJN,IND
Shot Chart Detail,0021100086,22,101122,Danny Granger,1610612754,Indiana Pacers,1,8,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-231,93,1,1,20120104,MIA,IND
Shot Chart Detail,0021100086,297,101122,Danny Granger,1610612754,Indiana Pacers,3,9,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,1,20120104,MIA,IND
Shot Chart Detail,0021100102,20,101122,Danny Granger,1610612754,Indiana Pacers,1,8,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20120106,BOS,IND
Shot Chart Detail,0021100102,371,101122,Danny Granger,1610612754,Indiana Pacers,3,2,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,25,1,1,20120106,BOS,IND
Shot Chart Detail,0021100102,531,101122,Danny Granger,1610612754,Indiana Pacers,4,0,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-152,208,1,1,20120106,BOS,IND
Shot Chart Detail,0021100111,232,101122,Danny Granger,1610612754,Indiana Pacers,2,1,12,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-49,66,1,1,20120107,IND,CHA
Shot Chart Detail,0021100111,291,101122,Danny Granger,1610612754,Indiana Pacers,3,8,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,52,1,1,20120107,IND,CHA
Shot Chart Detail,0021100111,448,101122,Danny Granger,1610612754,Indiana Pacers,4,5,58,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,64,1,1,20120107,IND,CHA
Shot Chart Detail,0021100111,453,101122,Danny Granger,1610612754,Indiana Pacers,4,5,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-34,189,1,1,20120107,IND,CHA
Shot Chart Detail,0021100144,45,101122,Danny Granger,1610612754,Indiana Pacers,1,6,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-172,60,1,1,20120111,IND,ATL
Shot Chart Detail,0021100144,86,101122,Danny Granger,1610612754,Indiana Pacers,1,3,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20120111,IND,ATL
Shot Chart Detail,0021100144,197,101122,Danny Granger,1610612754,Indiana Pacers,2,4,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,136,222,1,1,20120111,IND,ATL
Shot Chart Detail,0021100144,239,101122,Danny Granger,1610612754,Indiana Pacers,2,0,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,1,1,1,20120111,IND,ATL
