GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100002,56,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,6,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,0,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,283,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,2,2,56,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,26,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,348,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,11,21,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,12,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,384,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,8,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,388,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,7,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,6,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,441,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,2,52,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,25,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100012,24,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,9,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,56,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,123,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,2,10,41,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-108,75,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,138,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,2,8,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,86,148,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,148,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,2,8,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,103,173,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,301,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,6,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-8,1,1,20111226,DAL,DEN
