GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200018,183,201143,Al Horford,1610612737,Atlanta Hawks,2,7,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,192,89,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,232,201143,Al Horford,1610612737,Atlanta Hawks,2,3,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,259,201143,Al Horford,1610612737,Atlanta Hawks,2,1,28,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,28,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,272,201143,Al Horford,1610612737,Atlanta Hawks,2,1,0,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,302,201143,Al Horford,1610612737,Atlanta Hawks,3,9,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,376,201143,Al Horford,1610612737,Atlanta Hawks,3,2,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-30,48,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200040,6,201143,Al Horford,1610612737,Atlanta Hawks,1,10,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,28,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,13,201143,Al Horford,1610612737,Atlanta Hawks,1,10,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-6,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,23,201143,Al Horford,1610612737,Atlanta Hawks,1,8,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-26,44,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,51,201143,Al Horford,1610612737,Atlanta Hawks,1,5,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,29,189,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,274,201143,Al Horford,1610612737,Atlanta Hawks,3,8,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,26,143,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,280,201143,Al Horford,1610612737,Atlanta Hawks,3,7,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,300,201143,Al Horford,1610612737,Atlanta Hawks,3,5,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,108,146,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,322,201143,Al Horford,1610612737,Atlanta Hawks,3,3,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,6,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,400,201143,Al Horford,1610612737,Atlanta Hawks,4,7,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-45,157,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,450,201143,Al Horford,1610612737,Atlanta Hawks,4,2,59,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200040,458,201143,Al Horford,1610612737,Atlanta Hawks,4,2,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20121104,OKC,ATL
Shot Chart Detail,0021200055,31,201143,Al Horford,1610612737,Atlanta Hawks,1,7,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,14,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,188,201143,Al Horford,1610612737,Atlanta Hawks,2,5,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,170,107,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,196,201143,Al Horford,1610612737,Atlanta Hawks,2,4,26,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,4,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,210,201143,Al Horford,1610612737,Atlanta Hawks,2,1,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,7,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,276,201143,Al Horford,1610612737,Atlanta Hawks,3,8,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,280,201143,Al Horford,1610612737,Atlanta Hawks,3,7,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,189,48,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,436,201143,Al Horford,1610612737,Atlanta Hawks,4,5,42,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,12,47,1,1,20121107,ATL,IND
Shot Chart Detail,0021200072,21,201143,Al Horford,1610612737,Atlanta Hawks,1,9,23,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,36,1,1,20121109,ATL,MIA
Shot Chart Detail,0021200072,23,201143,Al Horford,1610612737,Atlanta Hawks,1,8,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,1,1,1,20121109,ATL,MIA
Shot Chart Detail,0021200072,36,201143,Al Horford,1610612737,Atlanta Hawks,1,7,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,33,1,1,20121109,ATL,MIA
Shot Chart Detail,0021200072,251,201143,Al Horford,1610612737,Atlanta Hawks,3,11,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,94,159,1,1,20121109,ATL,MIA
Shot Chart Detail,0021200072,439,201143,Al Horford,1610612737,Atlanta Hawks,4,3,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20121109,ATL,MIA
Shot Chart Detail,0021200091,14,201143,Al Horford,1610612737,Atlanta Hawks,1,10,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-68,181,1,1,20121111,LAC,ATL
Shot Chart Detail,0021200091,58,201143,Al Horford,1610612737,Atlanta Hawks,1,4,59,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,4,1,1,20121111,LAC,ATL
