GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200011,47,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,5,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20121031,LAC,MEM
Shot Chart Detail,0021200011,351,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,8,27,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20121031,LAC,MEM
Shot Chart Detail,0021200011,354,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,7,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-27,200,1,1,20121031,LAC,MEM
Shot Chart Detail,0021200011,412,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,2,29,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20121031,LAC,MEM
Shot Chart Detail,0021200025,39,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,7,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,26,205,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,94,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,3,6,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,28,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,232,201933,Blake Griffin,1610612746,Los Angeles Clippers,2,1,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,316,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,4,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,22,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,356,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,2,25,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,36,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200025,390,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,0,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,17,1,1,20121102,LAL,LAC
Shot Chart Detail,0021200036,109,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,2,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,22,1,1,20121103,LAC,GSW
Shot Chart Detail,0021200036,111,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,2,2,Made Shot,Reverse Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,22,1,1,20121103,LAC,GSW
Shot Chart Detail,0021200036,357,201933,Blake Griffin,1610612746,Los Angeles Clippers,2,0,2,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20121103,LAC,GSW
Shot Chart Detail,0021200036,424,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,7,15,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,30,1,1,20121103,LAC,GSW
Shot Chart Detail,0021200049,55,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,6,50,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,44,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,64,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,5,49,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,19,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,294,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,9,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-131,162,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,336,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,5,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,152,96,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,373,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,1,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,3,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,381,201933,Blake Griffin,1610612746,Los Angeles Clippers,3,1,10,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,477,201933,Blake Griffin,1610612746,Los Angeles Clippers,4,5,8,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,0,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,487,201933,Blake Griffin,1610612746,Los Angeles Clippers,4,3,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,45,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200049,511,201933,Blake Griffin,1610612746,Los Angeles Clippers,4,0,40,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20121105,LAC,CLE
Shot Chart Detail,0021200064,37,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,6,3,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,30,1,1,20121107,LAC,SAS
Shot Chart Detail,0021200064,47,201933,Blake Griffin,1610612746,Los Angeles Clippers,1,4,27,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,22,1,1,20121107,LAC,SAS
Shot Chart Detail,0021200064,168,201933,Blake Griffin,1610612746,Los Angeles Clippers,2,4,38,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,25,1,1,20121107,LAC,SAS
