GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200016,79,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,4,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-182,176,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,167,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,8,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,17,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,189,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,5,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,149,44,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,358,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,3,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,20,255,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,472,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,6,59,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,114,162,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200030,27,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,8,21,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-38,45,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,472,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,5,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,119,238,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,504,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,2,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-125,186,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200052,7,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,11,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,239,1,1,20121106,DEN,DET
Shot Chart Detail,0021200052,178,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,5,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-172,154,1,1,20121106,DEN,DET
Shot Chart Detail,0021200052,335,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,4,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,222,123,1,1,20121106,DEN,DET
Shot Chart Detail,0021200059,2,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-119,123,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,25,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,11,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-160,97,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,245,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,4,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-15,164,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,413,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,1,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-163,101,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,542,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,5,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-16,242,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,565,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,3,28,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200079,12,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,10,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,147,160,1,1,20121109,DEN,UTA
Shot Chart Detail,0021200079,57,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,5,40,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-2,1,1,20121109,DEN,UTA
Shot Chart Detail,0021200089,307,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,7,250,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,335,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,5,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-150,159,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,343,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,5,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,102,145,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,486,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,3,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,-18,230,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,490,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,2,48,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,255,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,531,201568,Danilo Gallinari,1610612743,Denver Nuggets,5,4,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,596,201568,Danilo Gallinari,1610612743,Denver Nuggets,5,0,2,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,655,201568,Danilo Gallinari,1610612743,Denver Nuggets,6,0,35,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,242,58,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200101,25,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-204,4,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,284,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,11,9,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,81,126,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,289,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,9,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,86,244,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,333,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,5,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,115,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,420,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,7,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,55,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,461,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,3,59,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,33,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200121,11,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,10,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,-11,1,1,20121115,DEN,MIA
