GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200010,195,201609,Goran Dragic,1610612756,Phoenix Suns,2,6,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,1,1,20121031,PHX,GSW
Shot Chart Detail,0021200010,273,201609,Goran Dragic,1610612756,Phoenix Suns,2,0,5,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-64,101,1,1,20121031,PHX,GSW
Shot Chart Detail,0021200010,301,201609,Goran Dragic,1610612756,Phoenix Suns,3,9,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20121031,PHX,GSW
Shot Chart Detail,0021200010,345,201609,Goran Dragic,1610612756,Phoenix Suns,3,6,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,65,238,1,1,20121031,PHX,GSW
Shot Chart Detail,0021200024,29,201609,Goran Dragic,1610612756,Phoenix Suns,1,8,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,88,145,1,1,20121102,PHX,DET
Shot Chart Detail,0021200024,55,201609,Goran Dragic,1610612756,Phoenix Suns,1,5,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,14,1,1,20121102,PHX,DET
Shot Chart Detail,0021200024,240,201609,Goran Dragic,1610612756,Phoenix Suns,2,3,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-13,260,1,1,20121102,PHX,DET
Shot Chart Detail,0021200024,348,201609,Goran Dragic,1610612756,Phoenix Suns,3,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,17,186,1,1,20121102,PHX,DET
Shot Chart Detail,0021200024,359,201609,Goran Dragic,1610612756,Phoenix Suns,3,5,38,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20121102,PHX,DET
Shot Chart Detail,0021200039,25,201609,Goran Dragic,1610612756,Phoenix Suns,1,9,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20121104,ORL,PHX
Shot Chart Detail,0021200039,272,201609,Goran Dragic,1610612756,Phoenix Suns,2,0,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-190,12,1,1,20121104,ORL,PHX
Shot Chart Detail,0021200039,278,201609,Goran Dragic,1610612756,Phoenix Suns,3,11,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,10,189,1,1,20121104,ORL,PHX
Shot Chart Detail,0021200039,499,201609,Goran Dragic,1610612756,Phoenix Suns,4,2,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-78,153,1,1,20121104,ORL,PHX
Shot Chart Detail,0021200039,501,201609,Goran Dragic,1610612756,Phoenix Suns,4,1,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,219,1,1,20121104,ORL,PHX
Shot Chart Detail,0021200044,26,201609,Goran Dragic,1610612756,Phoenix Suns,1,8,23,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,6,1,1,20121105,MIA,PHX
Shot Chart Detail,0021200044,121,201609,Goran Dragic,1610612756,Phoenix Suns,1,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,89,233,1,1,20121105,MIA,PHX
Shot Chart Detail,0021200044,279,201609,Goran Dragic,1610612756,Phoenix Suns,2,1,9,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-75,34,1,1,20121105,MIA,PHX
