GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200003,13,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,10,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-14,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,67,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,4,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,94,148,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,71,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-153,217,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200003,259,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,9,53,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,159,3,1,1,20121030,LAL,DAL
Shot Chart Detail,0021200009,248,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,4,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,179,1,1,20121031,UTA,DAL
Shot Chart Detail,0021200009,262,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,3,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-95,231,1,1,20121031,UTA,DAL
Shot Chart Detail,0021200009,291,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-101,220,1,1,20121031,UTA,DAL
Shot Chart Detail,0021200034,74,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,5,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,6,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,106,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,3,21,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,112,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,125,219,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,219,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,5,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,129,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,268,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,124,219,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,293,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,10,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-190,149,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,295,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,9,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,311,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,7,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,182,178,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,350,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,4,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,211,149,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200034,452,201564,O.J. Mayo,1610612742,Dallas Mavericks,4,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,170,186,1,1,20121103,DAL,CHA
Shot Chart Detail,0021200046,9,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,11,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,43,205,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,41,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,7,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,200,137,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,57,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,5,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-188,153,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,71,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,3,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-3,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,186,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,3,19,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,88,9,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,189,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,2,43,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-56,88,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,228,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,10,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,203,148,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,242,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,8,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-76,231,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,279,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,5,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,19,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,354,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,0,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,207,119,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,455,201564,O.J. Mayo,1610612742,Dallas Mavericks,4,2,45,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,17,80,1,1,20121105,DAL,POR
Shot Chart Detail,0021200046,475,201564,O.J. Mayo,1610612742,Dallas Mavericks,4,1,18,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-3,1,1,20121105,DAL,POR
Shot Chart Detail,0021200061,12,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,10,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,159,129,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,15,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,9,52,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,64,219,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,22,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,8,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-134,219,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,142,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,11,34,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,382,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,6,22,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,73,110,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,384,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,5,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,122,209,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,468,201564,O.J. Mayo,1610612742,Dallas Mavericks,4,11,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200061,515,201564,O.J. Mayo,1610612742,Dallas Mavericks,4,7,29,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,34,1,1,20121107,DAL,TOR
Shot Chart Detail,0021200071,2,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,11,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,199,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,9,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,10,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,1,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,92,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,2,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,103,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,132,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,10,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-229,109,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,135,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-177,174,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,319,201564,O.J. Mayo,1610612742,Dallas Mavericks,3,9,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-124,224,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200071,492,201564,O.J. Mayo,1610612742,Dallas Mavericks,4,7,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,1,1,1,20121109,NYK,DAL
Shot Chart Detail,0021200083,173,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,9,6,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,56,63,1,1,20121110,CHA,DAL
Shot Chart Detail,0021200083,184,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,8,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,14,1,1,20121110,CHA,DAL
Shot Chart Detail,0021200083,202,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,5,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,14,1,1,20121110,CHA,DAL
Shot Chart Detail,0021200083,206,201564,O.J. Mayo,1610612742,Dallas Mavericks,2,5,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,9,1,1,20121110,CHA,DAL
