GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200005,271,201951,Ty Lawson,1610612743,Denver Nuggets,2,1,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,26,241,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200005,352,201951,Ty Lawson,1610612743,Denver Nuggets,3,6,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200005,433,201951,Ty Lawson,1610612743,Denver Nuggets,4,11,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,-10,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200005,468,201951,Ty Lawson,1610612743,Denver Nuggets,4,7,42,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,30,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200005,488,201951,Ty Lawson,1610612743,Denver Nuggets,4,5,56,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,140,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200005,499,201951,Ty Lawson,1610612743,Denver Nuggets,4,5,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200005,503,201951,Ty Lawson,1610612743,Denver Nuggets,4,4,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-119,146,1,1,20121031,PHI,DEN
Shot Chart Detail,0021200016,6,201951,Ty Lawson,1610612743,Denver Nuggets,1,11,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,114,148,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,141,201951,Ty Lawson,1610612743,Denver Nuggets,2,11,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,19,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,269,201951,Ty Lawson,1610612743,Denver Nuggets,3,9,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,15,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,284,201951,Ty Lawson,1610612743,Denver Nuggets,3,8,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,424,201951,Ty Lawson,1610612743,Denver Nuggets,4,10,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,22,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200016,436,201951,Ty Lawson,1610612743,Denver Nuggets,4,9,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,14,1,1,20121102,ORL,DEN
Shot Chart Detail,0021200030,203,201951,Ty Lawson,1610612743,Denver Nuggets,2,5,11,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,207,201951,Ty Lawson,1610612743,Denver Nuggets,2,4,39,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,7,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,228,201951,Ty Lawson,1610612743,Denver Nuggets,2,2,58,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,19,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,307,201951,Ty Lawson,1610612743,Denver Nuggets,3,9,9,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,29,74,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,327,201951,Ty Lawson,1610612743,Denver Nuggets,3,6,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,15,80,131,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,347,201951,Ty Lawson,1610612743,Denver Nuggets,3,4,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,12,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200030,485,201951,Ty Lawson,1610612743,Denver Nuggets,4,4,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,11,1,1,20121103,MIA,DEN
Shot Chart Detail,0021200052,30,201951,Ty Lawson,1610612743,Denver Nuggets,1,7,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,184,1,1,20121106,DEN,DET
Shot Chart Detail,0021200052,210,201951,Ty Lawson,1610612743,Denver Nuggets,2,3,20,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-19,97,1,1,20121106,DEN,DET
Shot Chart Detail,0021200052,275,201951,Ty Lawson,1610612743,Denver Nuggets,3,9,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20121106,DEN,DET
Shot Chart Detail,0021200059,58,201951,Ty Lawson,1610612743,Denver Nuggets,1,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,173,172,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,220,201951,Ty Lawson,1610612743,Denver Nuggets,2,6,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,225,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,235,201951,Ty Lawson,1610612743,Denver Nuggets,2,5,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,-11,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,238,201951,Ty Lawson,1610612743,Denver Nuggets,2,5,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,248,201951,Ty Lawson,1610612743,Denver Nuggets,2,4,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,15,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,251,201951,Ty Lawson,1610612743,Denver Nuggets,2,3,32,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,106,142,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,253,201951,Ty Lawson,1610612743,Denver Nuggets,2,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,151,190,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,505,201951,Ty Lawson,1610612743,Denver Nuggets,4,7,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-3,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,527,201951,Ty Lawson,1610612743,Denver Nuggets,4,6,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200079,38,201951,Ty Lawson,1610612743,Denver Nuggets,1,8,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20121109,DEN,UTA
Shot Chart Detail,0021200079,192,201951,Ty Lawson,1610612743,Denver Nuggets,2,7,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20121109,DEN,UTA
Shot Chart Detail,0021200079,281,201951,Ty Lawson,1610612743,Denver Nuggets,2,2,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-3,1,1,20121109,DEN,UTA
Shot Chart Detail,0021200079,291,201951,Ty Lawson,1610612743,Denver Nuggets,2,0,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-3,1,1,20121109,DEN,UTA
Shot Chart Detail,0021200089,170,201951,Ty Lawson,1610612743,Denver Nuggets,2,8,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,337,201951,Ty Lawson,1610612743,Denver Nuggets,3,5,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200089,479,201951,Ty Lawson,1610612743,Denver Nuggets,4,4,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20121110,GSW,DEN
Shot Chart Detail,0021200101,188,201951,Ty Lawson,1610612743,Denver Nuggets,2,7,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,7,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,204,201951,Ty Lawson,1610612743,Denver Nuggets,2,6,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,230,201951,Ty Lawson,1610612743,Denver Nuggets,2,4,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,243,201951,Ty Lawson,1610612743,Denver Nuggets,2,2,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-2,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200101,299,201951,Ty Lawson,1610612743,Denver Nuggets,3,8,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20121112,PHX,DEN
Shot Chart Detail,0021200137,12,201951,Ty Lawson,1610612743,Denver Nuggets,1,10,39,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,28,1,1,20121117,SAS,DEN
