GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300009,167,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,9,32,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-13,74,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,318,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,9,54,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,20,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,329,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,8,38,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,22,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,503,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,4,36,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,72,89,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,514,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,3,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,143,47,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300009,519,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,2,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,15,1,1,20131030,HOU,CHA
Shot Chart Detail,0021300098,275,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,10,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20131111,CHA,ATL
Shot Chart Detail,0021300098,286,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,8,39,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,83,1,1,20131111,CHA,ATL
Shot Chart Detail,0021300098,288,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,143,94,1,1,20131111,CHA,ATL
Shot Chart Detail,0021300098,388,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,10,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-49,154,1,1,20131111,CHA,ATL
Shot Chart Detail,0021300098,445,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,6,33,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,50,1,1,20131111,CHA,ATL
Shot Chart Detail,0021300113,23,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,8,29,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,9,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,28,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,7,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,50,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,5,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,138,118,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,157,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,8,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,182,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,6,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,15,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,478,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,6,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,510,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,2,36,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,4,85,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300113,550,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,0,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20131113,BOS,CHA
Shot Chart Detail,0021300176,150,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,9,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20131122,CHA,PHX
Shot Chart Detail,0021300176,179,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,6,40,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20131122,CHA,PHX
Shot Chart Detail,0021300176,198,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,5,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20131122,CHA,PHX
Shot Chart Detail,0021300193,6,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,11,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,9,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,10,30,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,138,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,7,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,12,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,255,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,9,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,147,4,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,279,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,6,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,81,102,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,364,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,11,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,378,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,9,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300193,384,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,8,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,25,1,1,20131123,MIL,CHA
Shot Chart Detail,0021300202,25,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,9,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20131125,CHA,BOS
Shot Chart Detail,0021300202,48,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,6,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,36,1,1,20131125,CHA,BOS
Shot Chart Detail,0021300202,189,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,6,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,124,118,1,1,20131125,CHA,BOS
Shot Chart Detail,0021300202,304,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,7,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,23,41,1,1,20131125,CHA,BOS
Shot Chart Detail,0021300202,395,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,8,6,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,53,1,1,20131125,CHA,BOS
Shot Chart Detail,0021300202,445,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,3,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20131125,CHA,BOS
Shot Chart Detail,0021300215,137,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,11,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20131127,CHA,IND
Shot Chart Detail,0021300215,188,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-123,53,1,1,20131127,CHA,IND
Shot Chart Detail,0021300215,197,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,5,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,95,149,1,1,20131127,CHA,IND
Shot Chart Detail,0021300215,233,2744,Al Jefferson,1610612766,Charlotte Bobcats,2,2,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-108,132,1,1,20131127,CHA,IND
Shot Chart Detail,0021300215,350,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,5,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-103,129,1,1,20131127,CHA,IND
Shot Chart Detail,0021300215,508,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,8,13,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,30,1,1,20131127,CHA,IND
Shot Chart Detail,0021300215,522,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,6,30,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-5,1,1,20131127,CHA,IND
Shot Chart Detail,0021300228,2,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,11,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20131129,CHA,MIL
Shot Chart Detail,0021300228,53,2744,Al Jefferson,1610612766,Charlotte Bobcats,1,6,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20131129,CHA,MIL
Shot Chart Detail,0021300228,356,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,5,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20131129,CHA,MIL
Shot Chart Detail,0021300228,358,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,4,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,10,156,1,1,20131129,CHA,MIL
Shot Chart Detail,0021300228,368,2744,Al Jefferson,1610612766,Charlotte Bobcats,3,3,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,105,72,1,1,20131129,CHA,MIL
Shot Chart Detail,0021300228,429,2744,Al Jefferson,1610612766,Charlotte Bobcats,4,10,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,1,20131129,CHA,MIL
