GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300011,58,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,7,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-112,162,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,64,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,6,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-82,197,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,195,203076,Anthony Davis,1610612740,New Orleans Pelicans,2,5,39,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,1,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,212,203076,Anthony Davis,1610612740,New Orleans Pelicans,2,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,195,26,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,395,203076,Anthony Davis,1610612740,New Orleans Pelicans,3,2,24,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,402,203076,Anthony Davis,1610612740,New Orleans Pelicans,3,1,21,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,17,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,442,203076,Anthony Davis,1610612740,New Orleans Pelicans,4,9,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,19,1,1,20131030,NOP,IND
Shot Chart Detail,0021300011,504,203076,Anthony Davis,1610612740,New Orleans Pelicans,4,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20131030,NOP,IND
Shot Chart Detail,0021300021,3,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,11,46,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,14,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,8,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,10,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,104,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,1,30,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,218,203076,Anthony Davis,1610612740,New Orleans Pelicans,2,4,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,4,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,277,203076,Anthony Davis,1610612740,New Orleans Pelicans,3,10,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,303,203076,Anthony Davis,1610612740,New Orleans Pelicans,3,8,30,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,9,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,384,203076,Anthony Davis,1610612740,New Orleans Pelicans,3,2,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,474,203076,Anthony Davis,1610612740,New Orleans Pelicans,4,7,36,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,490,203076,Anthony Davis,1610612740,New Orleans Pelicans,4,6,11,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,7,41,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300035,9,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,10,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20131102,NOP,CHA
Shot Chart Detail,0021300035,13,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,9,54,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,-70,134,1,1,20131102,NOP,CHA
Shot Chart Detail,0021300035,73,203076,Anthony Davis,1610612740,New Orleans Pelicans,1,5,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,151,60,1,1,20131102,NOP,CHA
