GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300001,267,201167,Arron Afflalo,1610612753,Orlando Magic,3,9,12,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,1,1,1,20131029,IND,ORL
Shot Chart Detail,0021300001,282,201167,Arron Afflalo,1610612753,Orlando Magic,3,8,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-155,214,1,1,20131029,IND,ORL
Shot Chart Detail,0021300001,301,201167,Arron Afflalo,1610612753,Orlando Magic,3,5,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20131029,IND,ORL
Shot Chart Detail,0021300010,4,201167,Arron Afflalo,1610612753,Orlando Magic,1,11,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-123,157,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,213,201167,Arron Afflalo,1610612753,Orlando Magic,2,4,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,104,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,263,201167,Arron Afflalo,1610612753,Orlando Magic,2,0,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-8,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,284,201167,Arron Afflalo,1610612753,Orlando Magic,3,10,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-89,77,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,294,201167,Arron Afflalo,1610612753,Orlando Magic,3,9,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-130,138,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,312,201167,Arron Afflalo,1610612753,Orlando Magic,3,7,13,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-92,140,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,315,201167,Arron Afflalo,1610612753,Orlando Magic,3,6,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-27,247,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,453,201167,Arron Afflalo,1610612753,Orlando Magic,4,6,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,477,201167,Arron Afflalo,1610612753,Orlando Magic,4,4,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,37,254,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,517,201167,Arron Afflalo,1610612753,Orlando Magic,4,0,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300010,598,201167,Arron Afflalo,1610612753,Orlando Magic,5,0,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20131030,MIN,ORL
Shot Chart Detail,0021300021,156,201167,Arron Afflalo,1610612753,Orlando Magic,2,9,18,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,42,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,169,201167,Arron Afflalo,1610612753,Orlando Magic,2,8,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,42,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,182,201167,Arron Afflalo,1610612753,Orlando Magic,2,6,32,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,23,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,267,201167,Arron Afflalo,1610612753,Orlando Magic,3,11,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-87,233,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,298,201167,Arron Afflalo,1610612753,Orlando Magic,3,8,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,73,69,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,337,201167,Arron Afflalo,1610612753,Orlando Magic,3,6,18,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,13,42,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,346,201167,Arron Afflalo,1610612753,Orlando Magic,3,5,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,252,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,363,201167,Arron Afflalo,1610612753,Orlando Magic,3,4,24,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,19,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,430,201167,Arron Afflalo,1610612753,Orlando Magic,4,10,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-11,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300021,522,201167,Arron Afflalo,1610612753,Orlando Magic,4,4,22,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,92,132,1,1,20131101,ORL,NOP
Shot Chart Detail,0021300043,17,201167,Arron Afflalo,1610612753,Orlando Magic,1,9,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-93,227,1,1,20131103,ORL,BKN
Shot Chart Detail,0021300043,29,201167,Arron Afflalo,1610612753,Orlando Magic,1,8,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,209,1,1,20131103,ORL,BKN
Shot Chart Detail,0021300043,264,201167,Arron Afflalo,1610612753,Orlando Magic,3,9,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,1,20131103,ORL,BKN
Shot Chart Detail,0021300043,291,201167,Arron Afflalo,1610612753,Orlando Magic,3,7,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,108,113,1,1,20131103,ORL,BKN
Shot Chart Detail,0021300043,437,201167,Arron Afflalo,1610612753,Orlando Magic,4,7,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-160,198,1,1,20131103,ORL,BKN
Shot Chart Detail,0021300062,5,201167,Arron Afflalo,1610612753,Orlando Magic,1,11,24,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,26,91,1,1,20131106,ORL,LAC
Shot Chart Detail,0021300062,12,201167,Arron Afflalo,1610612753,Orlando Magic,1,10,28,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,23,1,1,20131106,ORL,LAC
Shot Chart Detail,0021300062,38,201167,Arron Afflalo,1610612753,Orlando Magic,1,7,3,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-75,74,1,1,20131106,ORL,LAC
Shot Chart Detail,0021300062,70,201167,Arron Afflalo,1610612753,Orlando Magic,1,3,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,4,1,1,20131106,ORL,LAC
Shot Chart Detail,0021300062,496,201167,Arron Afflalo,1610612753,Orlando Magic,4,1,47,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,129,14,1,1,20131106,ORL,LAC
Shot Chart Detail,0021300075,20,201167,Arron Afflalo,1610612753,Orlando Magic,1,8,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,26,250,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,50,201167,Arron Afflalo,1610612753,Orlando Magic,1,5,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,244,201167,Arron Afflalo,1610612753,Orlando Magic,2,4,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-139,37,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,288,201167,Arron Afflalo,1610612753,Orlando Magic,2,1,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,350,201167,Arron Afflalo,1610612753,Orlando Magic,3,10,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,599,201167,Arron Afflalo,1610612753,Orlando Magic,4,1,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,2,252,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,618,201167,Arron Afflalo,1610612753,Orlando Magic,4,0,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,20,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300075,645,201167,Arron Afflalo,1610612753,Orlando Magic,4,0,4,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-213,26,1,1,20131108,ORL,BOS
Shot Chart Detail,0021300086,49,201167,Arron Afflalo,1610612753,Orlando Magic,1,5,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,176,124,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,60,201167,Arron Afflalo,1610612753,Orlando Magic,1,4,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-40,181,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,139,201167,Arron Afflalo,1610612753,Orlando Magic,2,9,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,0,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,197,201167,Arron Afflalo,1610612753,Orlando Magic,2,3,37,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-116,99,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,219,201167,Arron Afflalo,1610612753,Orlando Magic,2,1,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-97,149,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,293,201167,Arron Afflalo,1610612753,Orlando Magic,3,5,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,31,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,426,201167,Arron Afflalo,1610612753,Orlando Magic,4,7,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,30,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300086,469,201167,Arron Afflalo,1610612753,Orlando Magic,4,3,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,159,1,1,20131109,ATL,ORL
Shot Chart Detail,0021300101,2,201167,Arron Afflalo,1610612753,Orlando Magic,1,11,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-15,157,1,1,20131111,BOS,ORL
Shot Chart Detail,0021300101,56,201167,Arron Afflalo,1610612753,Orlando Magic,1,5,13,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1,20131111,BOS,ORL
Shot Chart Detail,0021300101,177,201167,Arron Afflalo,1610612753,Orlando Magic,2,5,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-138,12,1,1,20131111,BOS,ORL
Shot Chart Detail,0021300101,274,201167,Arron Afflalo,1610612753,Orlando Magic,3,9,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,47,246,1,1,20131111,BOS,ORL
Shot Chart Detail,0021300101,430,201167,Arron Afflalo,1610612753,Orlando Magic,4,6,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,12,1,1,20131111,BOS,ORL
Shot Chart Detail,0021300101,450,201167,Arron Afflalo,1610612753,Orlando Magic,4,5,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-5,1,1,20131111,BOS,ORL
Shot Chart Detail,0021300111,32,201167,Arron Afflalo,1610612753,Orlando Magic,1,7,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-164,184,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,194,201167,Arron Afflalo,1610612753,Orlando Magic,2,6,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-59,168,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,301,201167,Arron Afflalo,1610612753,Orlando Magic,3,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-100,236,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,308,201167,Arron Afflalo,1610612753,Orlando Magic,3,9,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-169,183,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,311,201167,Arron Afflalo,1610612753,Orlando Magic,3,9,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,23,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,372,201167,Arron Afflalo,1610612753,Orlando Magic,3,3,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,23,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,379,201167,Arron Afflalo,1610612753,Orlando Magic,3,2,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,14,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,454,201167,Arron Afflalo,1610612753,Orlando Magic,4,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-182,184,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,468,201167,Arron Afflalo,1610612753,Orlando Magic,4,6,48,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,6,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,479,201167,Arron Afflalo,1610612753,Orlando Magic,4,5,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300111,494,201167,Arron Afflalo,1610612753,Orlando Magic,4,4,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,53,164,1,1,20131113,ORL,MIL
Shot Chart Detail,0021300137,155,201167,Arron Afflalo,1610612753,Orlando Magic,2,7,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-119,22,1,1,20131116,ORL,DAL
Shot Chart Detail,0021300137,234,201167,Arron Afflalo,1610612753,Orlando Magic,2,0,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,1,20131116,ORL,DAL
Shot Chart Detail,0021300137,259,201167,Arron Afflalo,1610612753,Orlando Magic,3,8,37,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,149,1,1,20131116,ORL,DAL
