GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300015,143,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,11,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,155,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,9,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,0,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,210,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,3,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-2,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,237,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-224,107,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,240,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,192,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,242,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,200,157,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,289,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,7,15,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,308,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,5,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-100,236,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,420,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,7,57,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,43,208,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,458,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,3,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-123,249,1,1,20131030,PHX,POR
Shot Chart Detail,0021300029,187,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,7,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,216,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,195,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,6,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,174,201,1,1,20131101,DEN,POR
