GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300003,402,201975,Jodie Meeks,1610612747,Los Angeles Lakers,3,2,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,26,255,1,1,20131029,LAL,LAC
Shot Chart Detail,0021300003,471,201975,Jodie Meeks,1610612747,Los Angeles Lakers,4,9,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-160,213,1,1,20131029,LAL,LAC
Shot Chart Detail,0021300003,473,201975,Jodie Meeks,1610612747,Los Angeles Lakers,4,9,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,23,1,1,20131029,LAL,LAC
Shot Chart Detail,0021300003,550,201975,Jodie Meeks,1610612747,Los Angeles Lakers,4,1,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,108,246,1,1,20131029,LAL,LAC
Shot Chart Detail,0021300017,27,201975,Jodie Meeks,1610612747,Los Angeles Lakers,1,9,10,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,33,1,1,20131030,GSW,LAL
Shot Chart Detail,0021300017,140,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,9,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20131030,GSW,LAL
Shot Chart Detail,0021300017,153,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,8,14,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,47,96,1,1,20131030,GSW,LAL
Shot Chart Detail,0021300017,155,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,7,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-62,239,1,1,20131030,GSW,LAL
Shot Chart Detail,0021300032,144,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,10,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,41,1,1,20131101,LAL,SAS
Shot Chart Detail,0021300032,146,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,9,59,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,1,20131101,LAL,SAS
Shot Chart Detail,0021300032,397,201975,Jodie Meeks,1610612747,Los Angeles Lakers,3,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,22,1,1,20131101,LAL,SAS
Shot Chart Detail,0021300032,480,201975,Jodie Meeks,1610612747,Los Angeles Lakers,4,3,55,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,36,63,1,1,20131101,LAL,SAS
Shot Chart Detail,0021300032,517,201975,Jodie Meeks,1610612747,Los Angeles Lakers,4,0,24,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,17,1,1,20131101,LAL,SAS
Shot Chart Detail,0021300046,119,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,10,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20131103,LAL,ATL
Shot Chart Detail,0021300046,130,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,9,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,20,1,1,20131103,LAL,ATL
Shot Chart Detail,0021300056,161,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,10,2,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20131105,DAL,LAL
Shot Chart Detail,0021300056,170,201975,Jodie Meeks,1610612747,Los Angeles Lakers,2,8,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,129,1,1,20131105,DAL,LAL
Shot Chart Detail,0021300056,386,201975,Jodie Meeks,1610612747,Los Angeles Lakers,3,0,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,19,1,1,20131105,DAL,LAL
Shot Chart Detail,0021300056,480,201975,Jodie Meeks,1610612747,Los Angeles Lakers,4,3,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-199,112,1,1,20131105,DAL,LAL
