GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300014,3,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,11,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-141,121,1,1,20131030,UTA,OKC
Shot Chart Detail,0021300014,195,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,2,6,34,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,14,1,1,20131030,UTA,OKC
Shot Chart Detail,0021300014,220,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,2,4,13,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,15,1,1,20131030,UTA,OKC
Shot Chart Detail,0021300014,274,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,3,11,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,135,45,1,1,20131030,UTA,OKC
Shot Chart Detail,0021300027,6,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,11,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-35,219,1,1,20131101,MIN,OKC
Shot Chart Detail,0021300027,282,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,2,1,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,17,1,1,20131101,MIN,OKC
Shot Chart Detail,0021300027,310,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,3,9,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-142,134,1,1,20131101,MIN,OKC
Shot Chart Detail,0021300044,26,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,9,13,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,15,-79,135,1,1,20131103,OKC,PHX
Shot Chart Detail,0021300044,41,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,6,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,186,1,1,20131103,OKC,PHX
Shot Chart Detail,0021300044,271,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,3,11,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,23,190,1,1,20131103,OKC,PHX
