GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300015,22,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,8,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,23,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,173,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,7,51,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,75,118,1,1,20131030,PHX,POR
Shot Chart Detail,0021300015,422,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,7,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,105,31,1,1,20131030,PHX,POR
Shot Chart Detail,0021300029,240,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,3,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-138,126,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,251,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,2,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,7,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,336,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-149,205,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,342,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,8,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,238,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,346,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,8,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,32,53,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,352,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,7,42,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,15,1,1,20131101,DEN,POR
Shot Chart Detail,0021300029,576,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,4,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,78,241,1,1,20131101,DEN,POR
Shot Chart Detail,0021300039,11,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,10,38,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-2,1,1,20131102,POR,SAS
Shot Chart Detail,0021300039,264,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,8,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,97,179,1,1,20131102,POR,SAS
Shot Chart Detail,0021300039,283,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,6,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,3,1,1,20131102,POR,SAS
Shot Chart Detail,0021300039,345,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,1,21,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,6,1,1,20131102,POR,SAS
Shot Chart Detail,0021300039,374,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,10,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-235,89,1,1,20131102,POR,SAS
Shot Chart Detail,0021300039,378,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,10,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-218,108,1,1,20131102,POR,SAS
