GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400044,215,201572,Brook Lopez,1610612751,Brooklyn Nets,2,2,43,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141103,BKN,OKC
Shot Chart Detail,0021400044,236,201572,Brook Lopez,1610612751,Brooklyn Nets,2,0,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,45,157,1,1,20141103,BKN,OKC
Shot Chart Detail,0021400044,254,201572,Brook Lopez,1610612751,Brooklyn Nets,3,11,9,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,36,1,1,20141103,BKN,OKC
Shot Chart Detail,0021400044,279,201572,Brook Lopez,1610612751,Brooklyn Nets,3,9,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-3,1,1,20141103,BKN,OKC
Shot Chart Detail,0021400044,326,201572,Brook Lopez,1610612751,Brooklyn Nets,3,4,51,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141103,BKN,OKC
Shot Chart Detail,0021400044,413,201572,Brook Lopez,1610612751,Brooklyn Nets,4,7,27,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,6,1,1,20141103,BKN,OKC
Shot Chart Detail,0021400060,22,201572,Brook Lopez,1610612751,Brooklyn Nets,1,9,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,1,1,1,20141105,BKN,MIN
Shot Chart Detail,0021400060,99,201572,Brook Lopez,1610612751,Brooklyn Nets,1,2,9,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,50,1,1,20141105,BKN,MIN
Shot Chart Detail,0021400060,104,201572,Brook Lopez,1610612751,Brooklyn Nets,1,1,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,29,1,1,20141105,BKN,MIN
Shot Chart Detail,0021400060,314,201572,Brook Lopez,1610612751,Brooklyn Nets,3,5,58,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141105,BKN,MIN
Shot Chart Detail,0021400060,316,201572,Brook Lopez,1610612751,Brooklyn Nets,3,5,24,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,63,1,1,20141105,BKN,MIN
Shot Chart Detail,0021400075,2,201572,Brook Lopez,1610612751,Brooklyn Nets,1,11,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,14,1,1,20141107,BKN,NYK
Shot Chart Detail,0021400075,9,201572,Brook Lopez,1610612751,Brooklyn Nets,1,10,40,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-97,17,1,1,20141107,BKN,NYK
Shot Chart Detail,0021400075,49,201572,Brook Lopez,1610612751,Brooklyn Nets,1,6,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,83,179,1,1,20141107,BKN,NYK
Shot Chart Detail,0021400075,289,201572,Brook Lopez,1610612751,Brooklyn Nets,3,10,9,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-93,22,1,1,20141107,BKN,NYK
Shot Chart Detail,0021400075,292,201572,Brook Lopez,1610612751,Brooklyn Nets,3,9,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,12,1,1,20141107,BKN,NYK
Shot Chart Detail,0021400075,436,201572,Brook Lopez,1610612751,Brooklyn Nets,4,9,27,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,72,1,1,20141107,BKN,NYK
Shot Chart Detail,0021400090,25,201572,Brook Lopez,1610612751,Brooklyn Nets,1,9,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,1,1,1,20141109,BKN,ORL
Shot Chart Detail,0021400090,42,201572,Brook Lopez,1610612751,Brooklyn Nets,1,7,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,-6,1,1,20141109,BKN,ORL
Shot Chart Detail,0021400090,292,201572,Brook Lopez,1610612751,Brooklyn Nets,3,6,4,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,12,1,1,20141109,BKN,ORL
Shot Chart Detail,0021400090,307,201572,Brook Lopez,1610612751,Brooklyn Nets,3,4,44,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,-3,1,1,20141109,BKN,ORL
Shot Chart Detail,0021400116,46,201572,Brook Lopez,1610612751,Brooklyn Nets,1,5,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,72,201572,Brook Lopez,1610612751,Brooklyn Nets,1,2,18,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,23,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,187,201572,Brook Lopez,1610612751,Brooklyn Nets,2,4,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,0,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,227,201572,Brook Lopez,1610612751,Brooklyn Nets,2,2,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,9,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,231,201572,Brook Lopez,1610612751,Brooklyn Nets,2,1,16,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,30,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,242,201572,Brook Lopez,1610612751,Brooklyn Nets,2,0,46,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-3,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400121,4,201572,Brook Lopez,1610612751,Brooklyn Nets,1,11,35,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20141113,GSW,BKN
