GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400012,21,202683,Enes Freedom,1610612762,Utah Jazz,1,9,37,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,14,1,1,20141029,UTA,HOU
Shot Chart Detail,0021400012,37,202683,Enes Freedom,1610612762,Utah Jazz,1,6,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,0,1,1,20141029,UTA,HOU
Shot Chart Detail,0021400012,41,202683,Enes Freedom,1610612762,Utah Jazz,1,5,18,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-49,4,1,1,20141029,UTA,HOU
Shot Chart Detail,0021400012,213,202683,Enes Freedom,1610612762,Utah Jazz,3,11,22,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,12,1,1,20141029,UTA,HOU
Shot Chart Detail,0021400012,264,202683,Enes Freedom,1610612762,Utah Jazz,3,5,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,4,1,1,20141029,UTA,HOU
Shot Chart Detail,0021400019,302,202683,Enes Freedom,1610612762,Utah Jazz,3,7,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,14,1,1,20141030,DAL,UTA
Shot Chart Detail,0021400019,456,202683,Enes Freedom,1610612762,Utah Jazz,4,4,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,3,1,1,20141030,DAL,UTA
Shot Chart Detail,0021400019,470,202683,Enes Freedom,1610612762,Utah Jazz,4,3,2,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,47,1,1,20141030,DAL,UTA
Shot Chart Detail,0021400019,499,202683,Enes Freedom,1610612762,Utah Jazz,4,1,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,20141030,DAL,UTA
Shot Chart Detail,0021400037,156,202683,Enes Freedom,1610612762,Utah Jazz,2,8,54,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141101,UTA,PHX
Shot Chart Detail,0021400048,57,202683,Enes Freedom,1610612762,Utah Jazz,1,4,35,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-82,11,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,68,202683,Enes Freedom,1610612762,Utah Jazz,1,3,10,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,14,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,148,202683,Enes Freedom,1610612762,Utah Jazz,2,6,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,26,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,162,202683,Enes Freedom,1610612762,Utah Jazz,2,5,22,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,185,202683,Enes Freedom,1610612762,Utah Jazz,2,2,6,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,61,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,252,202683,Enes Freedom,1610612762,Utah Jazz,3,6,3,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,17,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,387,202683,Enes Freedom,1610612762,Utah Jazz,4,8,0,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,28,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400066,7,202683,Enes Freedom,1610612762,Utah Jazz,1,10,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,20,1,1,20141105,UTA,CLE
Shot Chart Detail,0021400066,39,202683,Enes Freedom,1610612762,Utah Jazz,1,6,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,162,-2,1,1,20141105,UTA,CLE
