GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400013,17,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,9,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-90,140,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,63,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,5,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,108,225,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,206,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,5,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,166,186,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,213,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,4,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-3,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,337,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,4,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-130,247,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400024,180,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,8,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,182,175,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,318,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,7,41,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,476,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,4,56,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,39,146,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400037,248,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,1,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-52,173,1,1,20141101,UTA,PHX
Shot Chart Detail,0021400037,264,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,0,35,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1,20141101,UTA,PHX
Shot Chart Detail,0021400037,384,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,1,7,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,15,1,1,20141101,UTA,PHX
Shot Chart Detail,0021400056,56,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,6,28,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20141104,LAL,PHX
Shot Chart Detail,0021400056,566,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,2,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20141104,LAL,PHX
Shot Chart Detail,0021400065,23,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,7,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-10,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,48,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,4,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,56,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,3,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-5,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,67,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,2,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-2,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,83,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,1,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,58,194,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,200,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,1,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,231,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,11,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-212,129,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,278,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,5,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,0,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400065,483,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,1,1,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20141105,PHX,MEM
Shot Chart Detail,0021400079,25,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,9,12,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,208,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,3,52,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,77,56,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,210,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,3,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,296,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,9,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,0,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,323,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,7,33,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,30,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,340,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,6,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,31,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,529,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,0,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,560,202339,Eric Bledsoe,1610612756,Phoenix Suns,5,4,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400079,629,202339,Eric Bledsoe,1610612756,Phoenix Suns,6,2,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,1,20141107,PHX,SAC
Shot Chart Detail,0021400095,288,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,9,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,217,1,1,1,20141109,PHX,GSW
Shot Chart Detail,0021400095,312,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,5,52,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141109,PHX,GSW
Shot Chart Detail,0021400116,28,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,7,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,282,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,9,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,336,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,4,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-40,241,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400116,350,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,3,18,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20141112,PHX,BKN
Shot Chart Detail,0021400130,21,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,9,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,1,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,227,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,233,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,3,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,0,222,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,343,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,3,7,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,31,129,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,354,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,2,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-82,233,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,365,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,1,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,234,75,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,379,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,0,25,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,14,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400130,502,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,0,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20141114,PHX,CHA
Shot Chart Detail,0021400148,48,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,7,26,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,39,1,1,20141117,BOS,PHX
Shot Chart Detail,0021400148,291,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,10,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,1,20141117,BOS,PHX
Shot Chart Detail,0021400148,486,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,5,52,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,44,1,1,20141117,BOS,PHX
Shot Chart Detail,0021400148,532,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,1,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-10,1,1,20141117,BOS,PHX
Shot Chart Detail,0021400148,551,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,0,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20141117,BOS,PHX
Shot Chart Detail,0021400165,72,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20141119,DET,PHX
Shot Chart Detail,0021400165,226,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,2,30,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,75,1,1,20141119,DET,PHX
Shot Chart Detail,0021400165,269,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,9,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20141119,DET,PHX
Shot Chart Detail,0021400165,286,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,7,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-15,89,1,1,20141119,DET,PHX
Shot Chart Detail,0021400165,411,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,6,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141119,DET,PHX
Shot Chart Detail,0021400165,467,202339,Eric Bledsoe,1610612756,Phoenix Suns,4,0,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20141119,DET,PHX
Shot Chart Detail,0021400173,254,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,0,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,1,20141121,PHI,PHX
Shot Chart Detail,0021400173,262,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,0,19,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-124,217,1,1,20141121,PHI,PHX
Shot Chart Detail,0021400173,272,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,11,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141121,PHI,PHX
Shot Chart Detail,0021400173,284,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,9,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,155,61,1,1,20141121,PHI,PHX
Shot Chart Detail,0021400173,309,202339,Eric Bledsoe,1610612756,Phoenix Suns,3,7,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,1,20141121,PHI,PHX
Shot Chart Detail,0021400184,219,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,1,30,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20141122,IND,PHX
Shot Chart Detail,0021400184,223,202339,Eric Bledsoe,1610612756,Phoenix Suns,2,1,8,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,28,48,1,1,20141122,IND,PHX
Shot Chart Detail,0021400201,31,202339,Eric Bledsoe,1610612756,Phoenix Suns,1,8,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-136,206,1,1,20141124,TOR,PHX
