GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400033,87,202328,Greg Monroe,1610612765,Detroit Pistons,1,3,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20141101,DET,BKN
Shot Chart Detail,0021400033,208,202328,Greg Monroe,1610612765,Detroit Pistons,2,4,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20141101,DET,BKN
Shot Chart Detail,0021400033,210,202328,Greg Monroe,1610612765,Detroit Pistons,2,4,18,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20141101,DET,BKN
Shot Chart Detail,0021400033,220,202328,Greg Monroe,1610612765,Detroit Pistons,2,3,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141101,DET,BKN
Shot Chart Detail,0021400033,329,202328,Greg Monroe,1610612765,Detroit Pistons,3,5,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20141101,DET,BKN
Shot Chart Detail,0021400033,343,202328,Greg Monroe,1610612765,Detroit Pistons,3,3,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20141101,DET,BKN
Shot Chart Detail,0021400033,388,202328,Greg Monroe,1610612765,Detroit Pistons,4,10,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20141101,DET,BKN
Shot Chart Detail,0021400061,5,202328,Greg Monroe,1610612765,Detroit Pistons,1,10,44,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,15,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,81,202328,Greg Monroe,1610612765,Detroit Pistons,1,2,12,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,233,202328,Greg Monroe,1610612765,Detroit Pistons,2,1,7,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,293,202328,Greg Monroe,1610612765,Detroit Pistons,3,6,51,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,18,67,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,346,202328,Greg Monroe,1610612765,Detroit Pistons,3,2,14,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,405,202328,Greg Monroe,1610612765,Detroit Pistons,4,7,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,431,202328,Greg Monroe,1610612765,Detroit Pistons,4,4,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20141105,DET,NYK
Shot Chart Detail,0021400061,457,202328,Greg Monroe,1610612765,Detroit Pistons,4,1,9,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,26,1,1,20141105,DET,NYK
Shot Chart Detail,0021400076,52,202328,Greg Monroe,1610612765,Detroit Pistons,1,6,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141107,DET,MIL
Shot Chart Detail,0021400076,365,202328,Greg Monroe,1610612765,Detroit Pistons,4,11,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20141107,DET,MIL
Shot Chart Detail,0021400076,389,202328,Greg Monroe,1610612765,Detroit Pistons,4,9,27,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,64,1,1,20141107,DET,MIL
