GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400013,96,202738,Isaiah Thomas,1610612756,Phoenix Suns,1,3,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,189,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,110,202738,Isaiah Thomas,1610612756,Phoenix Suns,1,2,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-10,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,126,202738,Isaiah Thomas,1610612756,Phoenix Suns,1,0,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,165,183,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,165,202738,Isaiah Thomas,1610612756,Phoenix Suns,2,9,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-120,127,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,250,202738,Isaiah Thomas,1610612756,Phoenix Suns,2,1,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,17,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,380,202738,Isaiah Thomas,1610612756,Phoenix Suns,3,1,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,179,-3,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,436,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,10,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,467,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,216,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400013,470,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,6,29,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-14,1,1,20141029,PHX,LAL
Shot Chart Detail,0021400024,177,202738,Isaiah Thomas,1610612756,Phoenix Suns,2,8,55,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,193,202738,Isaiah Thomas,1610612756,Phoenix Suns,2,7,0,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-54,127,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,357,202738,Isaiah Thomas,1610612756,Phoenix Suns,3,4,44,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,33,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,399,202738,Isaiah Thomas,1610612756,Phoenix Suns,3,1,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,407,202738,Isaiah Thomas,1610612756,Phoenix Suns,3,0,47,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,88,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,424,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,10,11,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,40,101,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,427,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,9,40,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-60,94,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,438,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,8,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,474,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,5,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,7,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400024,488,202738,Isaiah Thomas,1610612756,Phoenix Suns,4,3,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20141031,PHX,SAS
Shot Chart Detail,0021400037,138,202738,Isaiah Thomas,1610612756,Phoenix Suns,2,10,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,231,1,1,20141101,UTA,PHX
Shot Chart Detail,0021400037,336,202738,Isaiah Thomas,1610612756,Phoenix Suns,3,4,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-90,230,1,1,20141101,UTA,PHX
