GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400020,499,200755,JJ Redick,1610612746,Los Angeles Clippers,4,3,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,75,247,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400026,42,200755,JJ Redick,1610612746,Los Angeles Clippers,1,7,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-122,170,1,1,20141031,LAL,LAC
Shot Chart Detail,0021400026,49,200755,JJ Redick,1610612746,Los Angeles Clippers,1,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-120,224,1,1,20141031,LAL,LAC
Shot Chart Detail,0021400026,61,200755,JJ Redick,1610612746,Los Angeles Clippers,1,5,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-10,1,1,20141031,LAL,LAC
Shot Chart Detail,0021400039,8,200755,JJ Redick,1610612746,Los Angeles Clippers,1,10,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,237,97,1,1,20141102,LAC,SAC
Shot Chart Detail,0021400039,15,200755,JJ Redick,1610612746,Los Angeles Clippers,1,9,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,3,1,1,20141102,LAC,SAC
Shot Chart Detail,0021400039,356,200755,JJ Redick,1610612746,Los Angeles Clippers,3,3,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,7,145,1,1,20141102,LAC,SAC
Shot Chart Detail,0021400039,483,200755,JJ Redick,1610612746,Los Angeles Clippers,4,4,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,113,145,1,1,20141102,LAC,SAC
Shot Chart Detail,0021400048,4,200755,JJ Redick,1610612746,Los Angeles Clippers,1,11,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,39,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400048,39,200755,JJ Redick,1610612746,Los Angeles Clippers,1,6,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,92,246,1,1,20141103,LAC,UTA
Shot Chart Detail,0021400068,9,200755,JJ Redick,1610612746,Los Angeles Clippers,1,10,46,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,105,34,1,1,20141105,GSW,LAC
