GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400007,89,202322,John Wall,1610612764,Washington Wizards,1,2,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,1,20141029,MIA,WAS
Shot Chart Detail,0021400007,94,202322,John Wall,1610612764,Washington Wizards,1,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,3,1,1,20141029,MIA,WAS
Shot Chart Detail,0021400007,186,202322,John Wall,1610612764,Washington Wizards,2,4,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,17,1,1,20141029,MIA,WAS
Shot Chart Detail,0021400007,283,202322,John Wall,1610612764,Washington Wizards,3,7,5,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,107,1,1,20141029,MIA,WAS
Shot Chart Detail,0021400007,285,202322,John Wall,1610612764,Washington Wizards,3,6,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,12,1,1,20141029,MIA,WAS
Shot Chart Detail,0021400007,411,202322,John Wall,1610612764,Washington Wizards,4,6,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,116,140,1,1,20141029,MIA,WAS
Shot Chart Detail,0021400016,67,202322,John Wall,1610612764,Washington Wizards,1,4,5,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,226,202322,John Wall,1610612764,Washington Wizards,2,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-26,249,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,263,202322,John Wall,1610612764,Washington Wizards,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,50,254,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,288,202322,John Wall,1610612764,Washington Wizards,3,9,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,64,172,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,311,202322,John Wall,1610612764,Washington Wizards,3,7,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,313,202322,John Wall,1610612764,Washington Wizards,3,7,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,329,202322,John Wall,1610612764,Washington Wizards,3,5,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,114,146,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,365,202322,John Wall,1610612764,Washington Wizards,3,1,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-95,67,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,440,202322,John Wall,1610612764,Washington Wizards,4,6,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-16,159,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400016,517,202322,John Wall,1610612764,Washington Wizards,4,0,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,15,1,1,20141030,ORL,WAS
Shot Chart Detail,0021400031,21,202322,John Wall,1610612764,Washington Wizards,1,9,53,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,40,110,1,1,20141101,WAS,MIL
Shot Chart Detail,0021400031,263,202322,John Wall,1610612764,Washington Wizards,2,1,13,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141101,WAS,MIL
Shot Chart Detail,0021400031,377,202322,John Wall,1610612764,Washington Wizards,3,3,47,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-54,124,1,1,20141101,WAS,MIL
Shot Chart Detail,0021400031,395,202322,John Wall,1610612764,Washington Wizards,3,2,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,179,208,1,1,20141101,WAS,MIL
Shot Chart Detail,0021400031,544,202322,John Wall,1610612764,Washington Wizards,4,2,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-79,153,1,1,20141101,WAS,MIL
Shot Chart Detail,0021400031,568,202322,John Wall,1610612764,Washington Wizards,4,0,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,47,203,1,1,20141101,WAS,MIL
Shot Chart Detail,0021400051,3,202322,John Wall,1610612764,Washington Wizards,1,11,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,77,164,1,1,20141104,NYK,WAS
Shot Chart Detail,0021400051,5,202322,John Wall,1610612764,Washington Wizards,1,10,45,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,6,1,1,20141104,NYK,WAS
Shot Chart Detail,0021400051,302,202322,John Wall,1610612764,Washington Wizards,3,6,52,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,28,134,1,1,20141104,NYK,WAS
Shot Chart Detail,0021400051,352,202322,John Wall,1610612764,Washington Wizards,3,3,13,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,14,1,1,20141104,NYK,WAS
Shot Chart Detail,0021400051,502,202322,John Wall,1610612764,Washington Wizards,4,1,34,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,204,44,1,1,20141104,NYK,WAS
Shot Chart Detail,0021400063,10,202322,John Wall,1610612764,Washington Wizards,1,10,37,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-5,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,68,202322,John Wall,1610612764,Washington Wizards,1,4,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-3,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,96,202322,John Wall,1610612764,Washington Wizards,1,2,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-32,25,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,197,202322,John Wall,1610612764,Washington Wizards,2,5,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,94,249,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,232,202322,John Wall,1610612764,Washington Wizards,2,2,12,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-10,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,285,202322,John Wall,1610612764,Washington Wizards,3,9,13,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,321,202322,John Wall,1610612764,Washington Wizards,3,4,37,Made Shot,Running Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-3,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,475,202322,John Wall,1610612764,Washington Wizards,4,3,42,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,121,129,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,545,202322,John Wall,1610612764,Washington Wizards,5,3,15,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,15,126,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,547,202322,John Wall,1610612764,Washington Wizards,5,2,39,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,184,1,1,20141105,WAS,IND
Shot Chart Detail,0021400063,550,202322,John Wall,1610612764,Washington Wizards,5,2,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-2,1,1,20141105,WAS,IND
Shot Chart Detail,0021400077,337,202322,John Wall,1610612764,Washington Wizards,3,8,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-152,77,1,1,20141107,TOR,WAS
Shot Chart Detail,0021400077,376,202322,John Wall,1610612764,Washington Wizards,3,6,11,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-116,42,1,1,20141107,TOR,WAS
Shot Chart Detail,0021400077,402,202322,John Wall,1610612764,Washington Wizards,3,4,15,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,1,20141107,TOR,WAS
