GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400018,2,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,11,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20141030,CLE,NYK
Shot Chart Detail,0021400018,18,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,8,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,42,1,1,20141030,CLE,NYK
Shot Chart Detail,0021400018,56,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,4,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,4,1,1,20141030,CLE,NYK
Shot Chart Detail,0021400018,114,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,0,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141030,CLE,NYK
Shot Chart Detail,0021400018,215,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,2,24,Made Shot,Jump Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,84,41,1,1,20141030,CLE,NYK
Shot Chart Detail,0021400018,484,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,2,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,254,1,1,20141030,CLE,NYK
Shot Chart Detail,0021400022,72,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,5,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-190,159,1,1,20141031,CHI,CLE
Shot Chart Detail,0021400022,338,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,3,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,1,20141031,CHI,CLE
Shot Chart Detail,0021400022,354,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,1,47,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,53,1,1,20141031,CHI,CLE
Shot Chart Detail,0021400022,362,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,0,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-177,126,1,1,20141031,CHI,CLE
Shot Chart Detail,0021400022,497,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,1,6,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141031,CHI,CLE
Shot Chart Detail,0021400055,20,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,9,43,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,1,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,22,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,9,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,136,209,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,46,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,6,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,153,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,184,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,5,46,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,34,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,297,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,6,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-114,222,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,322,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,4,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,11,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,428,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,6,52,Made Shot,Jump Bank Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,15,1,1,20141104,POR,CLE
Shot Chart Detail,0021400066,10,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,9,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-71,192,1,1,20141105,UTA,CLE
Shot Chart Detail,0021400066,13,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,9,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,167,1,1,20141105,UTA,CLE
