GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400008,49,200794,Paul Millsap,1610612737,Atlanta Hawks,1,6,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,9,1,1,20141029,TOR,ATL
Shot Chart Detail,0021400008,237,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,1,20141029,TOR,ATL
Shot Chart Detail,0021400008,323,200794,Paul Millsap,1610612737,Atlanta Hawks,3,8,29,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,3,1,1,20141029,TOR,ATL
Shot Chart Detail,0021400008,332,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,19,1,1,20141029,TOR,ATL
Shot Chart Detail,0021400032,8,200794,Paul Millsap,1610612737,Atlanta Hawks,1,10,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,51,247,1,1,20141101,ATL,IND
Shot Chart Detail,0021400032,62,200794,Paul Millsap,1610612737,Atlanta Hawks,1,4,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-35,160,1,1,20141101,ATL,IND
Shot Chart Detail,0021400032,65,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,127,104,1,1,20141101,ATL,IND
Shot Chart Detail,0021400032,201,200794,Paul Millsap,1610612737,Atlanta Hawks,2,4,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,17,1,1,20141101,ATL,IND
Shot Chart Detail,0021400032,345,200794,Paul Millsap,1610612737,Atlanta Hawks,3,3,28,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,19,1,1,20141101,ATL,IND
Shot Chart Detail,0021400064,41,200794,Paul Millsap,1610612737,Atlanta Hawks,1,6,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,-5,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,195,200794,Paul Millsap,1610612737,Atlanta Hawks,2,5,16,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,11,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,244,200794,Paul Millsap,1610612737,Atlanta Hawks,2,0,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,258,200794,Paul Millsap,1610612737,Atlanta Hawks,3,10,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,58,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,263,200794,Paul Millsap,1610612737,Atlanta Hawks,3,9,54,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,42,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,283,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,30,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,338,200794,Paul Millsap,1610612737,Atlanta Hawks,3,3,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400064,467,200794,Paul Millsap,1610612737,Atlanta Hawks,4,4,13,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,6,1,1,20141105,SAS,ATL
Shot Chart Detail,0021400071,13,200794,Paul Millsap,1610612737,Atlanta Hawks,1,11,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,121,96,1,1,20141107,CHA,ATL
Shot Chart Detail,0021400071,81,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-120,138,1,1,20141107,CHA,ATL
Shot Chart Detail,0021400071,320,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,15,1,1,20141107,CHA,ATL
Shot Chart Detail,0021400071,461,200794,Paul Millsap,1610612737,Atlanta Hawks,4,5,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,4,1,1,20141107,CHA,ATL
Shot Chart Detail,0021400084,258,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,31,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20141108,ATL,NYK
Shot Chart Detail,0021400084,273,200794,Paul Millsap,1610612737,Atlanta Hawks,2,2,23,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-48,42,1,1,20141108,ATL,NYK
Shot Chart Detail,0021400084,315,200794,Paul Millsap,1610612737,Atlanta Hawks,3,10,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,1,20141108,ATL,NYK
Shot Chart Detail,0021400100,75,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,181,1,1,20141110,NYK,ATL
Shot Chart Detail,0021400100,212,200794,Paul Millsap,1610612737,Atlanta Hawks,2,2,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,67,63,1,1,20141110,NYK,ATL
Shot Chart Detail,0021400100,257,200794,Paul Millsap,1610612737,Atlanta Hawks,3,9,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,113,53,1,1,20141110,NYK,ATL
Shot Chart Detail,0021400100,279,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,18,247,1,1,20141110,NYK,ATL
Shot Chart Detail,0021400100,294,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,0,1,1,20141110,NYK,ATL
Shot Chart Detail,0021400100,318,200794,Paul Millsap,1610612737,Atlanta Hawks,3,4,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-161,82,1,1,20141110,NYK,ATL
Shot Chart Detail,0021400110,4,200794,Paul Millsap,1610612737,Atlanta Hawks,1,11,2,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,69,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,38,200794,Paul Millsap,1610612737,Atlanta Hawks,1,6,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,75,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,14,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,216,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,171,190,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,222,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,244,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,232,200794,Paul Millsap,1610612737,Atlanta Hawks,2,1,37,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,288,200794,Paul Millsap,1610612737,Atlanta Hawks,3,8,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,296,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,23,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20141112,ATL,UTA
Shot Chart Detail,0021400110,300,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,208,1,1,20141112,ATL,UTA
