GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500008,223,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20151028,MIA,CHA
Shot Chart Detail,0021500008,246,202689,Kemba Walker,1610612766,Charlotte Hornets,2,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,198,1,1,20151028,MIA,CHA
Shot Chart Detail,0021500008,344,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151028,MIA,CHA
Shot Chart Detail,0021500008,479,202689,Kemba Walker,1610612766,Charlotte Hornets,4,3,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,112,144,1,1,20151028,MIA,CHA
Shot Chart Detail,0021500008,505,202689,Kemba Walker,1610612766,Charlotte Hornets,4,1,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20151028,MIA,CHA
Shot Chart Detail,0021500026,89,202689,Kemba Walker,1610612766,Charlotte Hornets,1,3,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,60,100,1,1,20151030,ATL,CHA
Shot Chart Detail,0021500026,204,202689,Kemba Walker,1610612766,Charlotte Hornets,2,6,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20151030,ATL,CHA
Shot Chart Detail,0021500026,318,202689,Kemba Walker,1610612766,Charlotte Hornets,3,6,55,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,16,1,1,20151030,ATL,CHA
Shot Chart Detail,0021500026,346,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,54,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,7,1,1,20151030,ATL,CHA
Shot Chart Detail,0021500026,452,202689,Kemba Walker,1610612766,Charlotte Hornets,4,7,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,35,239,1,1,20151030,ATL,CHA
Shot Chart Detail,0021500039,165,202689,Kemba Walker,1610612766,Charlotte Hornets,2,4,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,1,20151101,CHA,ATL
Shot Chart Detail,0021500039,168,202689,Kemba Walker,1610612766,Charlotte Hornets,2,4,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20151101,CHA,ATL
Shot Chart Detail,0021500039,258,202689,Kemba Walker,1610612766,Charlotte Hornets,3,8,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,110,224,1,1,20151101,CHA,ATL
Shot Chart Detail,0021500039,477,202689,Kemba Walker,1610612766,Charlotte Hornets,4,2,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,195,1,1,20151101,CHA,ATL
