GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500013,34,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,164,65,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,63,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,6,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,254,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,0,1,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,260,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,11,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-86,33,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500028,3,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,11,27,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-115,46,1,1,20151030,SAS,BKN
Shot Chart Detail,0021500028,83,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,2,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,8,1,1,20151030,SAS,BKN
Shot Chart Detail,0021500028,183,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,4,53,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAS,BKN
Shot Chart Detail,0021500028,193,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,4,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,21,1,1,20151030,SAS,BKN
Shot Chart Detail,0021500028,226,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,1,24,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAS,BKN
Shot Chart Detail,0021500040,88,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,3,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,145,16,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,288,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,0,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-14,41,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,301,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,11,47,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,332,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,8,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,18,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,367,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,5,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,185,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,517,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,4,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-151,7,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,519,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,4,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-140,56,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500040,522,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,3,52,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,26,1,1,20151101,BOS,SAS
Shot Chart Detail,0021500048,113,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,0,31,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,136,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,9,25,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,26,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,151,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,8,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,2,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,163,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,7,31,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-12,51,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,252,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,10,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,141,95,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,312,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,5,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,330,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,3,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,21,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500048,345,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,1,40,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,14,43,1,1,20151102,NYK,SAS
Shot Chart Detail,0021500061,55,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,5,37,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,WAS,SAS
Shot Chart Detail,0021500061,78,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,3,21,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20151104,WAS,SAS
Shot Chart Detail,0021500061,91,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,2,23,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20151104,WAS,SAS
Shot Chart Detail,0021500061,272,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,8,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,8,1,1,20151104,WAS,SAS
Shot Chart Detail,0021500090,23,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,9,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,16,1,1,20151107,SAS,CHA
Shot Chart Detail,0021500090,29,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,8,53,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-151,65,1,1,20151107,SAS,CHA
Shot Chart Detail,0021500090,161,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,8,13,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,127,46,1,1,20151107,SAS,CHA
