GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500001,5,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,11,21,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,117,67,1,1,20151027,ATL,DET
Shot Chart Detail,0021500001,43,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,7,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,ATL,DET
Shot Chart Detail,0021500001,55,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,6,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,156,120,1,1,20151027,ATL,DET
Shot Chart Detail,0021500001,197,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,2,4,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,195,1,1,20151027,ATL,DET
Shot Chart Detail,0021500001,342,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,3,1,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,35,193,1,1,20151027,ATL,DET
Shot Chart Detail,0021500001,470,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,4,3,15,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,-6,1,1,20151027,ATL,DET
Shot Chart Detail,0021500007,53,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,3,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-114,8,1,1,20151028,DET,UTA
Shot Chart Detail,0021500007,82,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,1,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,32,257,1,1,20151028,DET,UTA
Shot Chart Detail,0021500007,206,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,2,1,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-124,41,1,1,20151028,DET,UTA
Shot Chart Detail,0021500007,213,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,2,0,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-155,65,1,1,20151028,DET,UTA
Shot Chart Detail,0021500007,251,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,3,8,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-6,1,1,20151028,DET,UTA
