GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500013,23,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,9,45,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-58,97,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,60,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,6,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-117,223,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,64,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,6,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,77,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,5,15,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-117,80,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,91,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,3,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-1,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,215,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,4,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,225,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,2,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,250,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,0,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,126,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,322,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,6,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,363,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,2,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-5,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,476,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,5,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,61,144,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500013,521,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,26,1,1,20151028,OKC,SAS
Shot Chart Detail,0021500022,27,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,8,25,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,46,65,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,57,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,5,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,298,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,10,46,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-68,67,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,344,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,5,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,18,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,373,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,2,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,377,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,2,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,490,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,6,21,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,530,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,541,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,571,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,590,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,0,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,37,64,370,1,1,20151030,ORL,OKC
