GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600012,8,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,10,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,1,20161026,PHX,SAC
Shot Chart Detail,0021600012,268,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,10,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20161026,PHX,SAC
Shot Chart Detail,0021600012,312,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,7,23,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20161026,PHX,SAC
Shot Chart Detail,0021600012,356,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,4,54,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,PHX,SAC
Shot Chart Detail,0021600012,370,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,3,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-138,124,1,1,20161026,PHX,SAC
Shot Chart Detail,0021600012,381,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,2,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-2,198,1,1,20161026,PHX,SAC
Shot Chart Detail,0021600016,7,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,11,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,-5,1,1,20161027,SAC,SAS
Shot Chart Detail,0021600016,40,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-156,97,1,1,20161027,SAC,SAS
Shot Chart Detail,0021600016,164,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,8,37,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161027,SAC,SAS
Shot Chart Detail,0021600016,167,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,8,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,7,1,1,20161027,SAC,SAS
